prot1,prot2,int_prob,model_label,ppi,is_homo,non_struct_label,str_label,nonstr_label_name,str_label_name
A0A1B0GV85,Q5T0J7,0.4996513128280639,0,A0A1B0GV85:Q5T0J7,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A1W2PQ64,Q9HBT8,0.4996015131473541,0,A0A1W2PQ64:Q9HBT8,False,0,-1,non-interacting pairs,not found in same PDB complex
A0A5B9,A0A5B9,0.8915361166000366,1,A0A5B9:A0A5B9,True,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A5B9,P01848,0.5164813995361328,1,A0A5B9:P01848,False,1,1,HINT-binary-HQ-LC,direct physical interaction
A0A5B9,P01889,0.6177414655685425,1,A0A5B9:P01889,False,1,1,HINT-binary-HQ-LC,direct physical interaction
A0AVT1,O15205,0.8761019706726074,1,A0AVT1:O15205,False,1,0,HINT-binary-HQ-LC,no physical interaction
A2RU14,Q4KMG9,0.4981546998023987,0,A2RU14:Q4KMG9,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
A4D2B0,A4D2B0,0.4543509185314178,0,A4D2B0:A4D2B0,True,1,1,HINT-binary-HQ-LC,direct physical interaction
A4GXA9,P54793,0.1666878908872604,0,A4GXA9:P54793,False,0,-1,non-interacting pairs,not found in same PDB complex
A5D6W6,Q495X7,0.0314304642379283,0,A5D6W6:Q495X7,False,0,-1,non-interacting pairs,not found in same PDB complex
A5PLL1,P01920,0.4996907114982605,0,A5PLL1:P01920,False,0,-1,non-interacting pairs,not found in same PDB complex
A5PLL1,Q71DI3,0.1128555163741111,0,A5PLL1:Q71DI3,False,0,-1,non-interacting pairs,not found in same PDB complex
A5YM69,O95139,0.1113562434911727,0,A5YM69:O95139,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NCE7,Q8NET5,0.498788058757782,0,A6NCE7:Q8NET5,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NCL1,Q5SZD1,0.4995093643665313,0,A6NCL1:Q5SZD1,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NCS6,P50747,0.4210804104804992,0,A6NCS6:P50747,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NCW0,A8K4G0,0.1670191437005996,0,A6NCW0:A8K4G0,False,0,-1,non-interacting pairs,not found in same PDB complex
A6ND01,A6ND01,0.5312151908874512,1,A6ND01:A6ND01,True,1,1,HINT-binary-HQ-LC,direct physical interaction
A6ND01,O95073,0.0911080166697502,0,A6ND01:O95073,False,0,-1,non-interacting pairs,not found in same PDB complex
A6ND01,Q75V66,0.0511428862810134,0,A6ND01:Q75V66,False,0,-1,non-interacting pairs,not found in same PDB complex
A6ND36,Q92769,0.3755766153335571,0,A6ND36:Q92769,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NDI0,P84085,0.1038540229201316,0,A6NDI0:P84085,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NK97,Q07654,0.0967281311750412,0,A6NK97:Q07654,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NKF2,Q5T749,0.2499820441007614,0,A6NKF2:Q5T749,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NL08,Q8WW59,7.165768329286948e-05,0,A6NL08:Q8WW59,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NMX2,O75473,0.0454011932015419,0,A6NMX2:O75473,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NN92,Q5VT79,0.2501605153083801,0,A6NN92:Q5VT79,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NNB3,O95182,0.4974066615104675,0,A6NNB3:O95182,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NNE9,O43543,0.3331167697906494,0,A6NNE9:O43543,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NNE9,Q5VVY1,0.062975138425827,0,A6NNE9:Q5VVY1,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NNE9,Q8IWT0,0.4993966221809387,0,A6NNE9:Q8IWT0,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NNL0,Q5VTD9,0.0150759136304259,0,A6NNL0:Q5VTD9,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NNM8,O15520,0.067044474184513,0,A6NNM8:O15520,False,0,-1,non-interacting pairs,not found in same PDB complex
A6NNW6,O60831,0.0381678342819213,0,A6NNW6:O60831,False,0,-1,non-interacting pairs,not found in same PDB complex
A6PVC2,O43663,0.2184523642063141,0,A6PVC2:O43663,False,0,-1,non-interacting pairs,not found in same PDB complex
A7MD48,P01763,0.499428391456604,0,A7MD48:P01763,False,0,-1,non-interacting pairs,not found in same PDB complex
A7XYQ1,Q13217,0.0220204032957553,0,A7XYQ1:Q13217,False,0,-1,non-interacting pairs,not found in same PDB complex
A8K4G0,P62241,0.1684460788965225,0,A8K4G0:P62241,False,0,-1,non-interacting pairs,not found in same PDB complex
A8K7I4,Q4U2R8,0.0074992133304476,0,A8K7I4:Q4U2R8,False,0,-1,non-interacting pairs,not found in same PDB complex
A8K8V0,P16284,0.499860405921936,0,A8K8V0:P16284,False,0,-1,non-interacting pairs,not found in same PDB complex
A8MPY1,Q86YF9,0.0327546745538711,0,A8MPY1:Q86YF9,False,0,-1,non-interacting pairs,not found in same PDB complex
A8MQ03,P26371,9.017264346766751e-06,0,A8MQ03:P26371,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
A8MQ03,P27918,0.146032452583313,0,A8MQ03:P27918,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
A8MQ03,Q96H86,0.4993140399456024,0,A8MQ03:Q96H86,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
A8MQ27,O60711,0.0644807964563369,0,A8MQ27:O60711,False,0,-1,non-interacting pairs,not found in same PDB complex
A8MT69,A8MT69,0.6477234959602356,1,A8MT69:A8MT69,True,1,1,HINT-binary-HQ-LC,direct physical interaction
A8MUP2,O75716,0.4994414746761322,0,A8MUP2:O75716,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
B1AK53,Q8N292,0.0122648775577545,0,B1AK53:Q8N292,False,0,-1,non-interacting pairs,not found in same PDB complex
B4E2M5,P46976,0.2498518377542495,0,B4E2M5:P46976,False,0,-1,non-interacting pairs,not found in same PDB complex
B6SEH8,Q9NUN5,0.0702684223651886,0,B6SEH8:Q9NUN5,False,0,-1,non-interacting pairs,not found in same PDB complex
B7ZAQ6,Q8IXJ6,0.0121240029111504,0,B7ZAQ6:Q8IXJ6,False,0,-1,non-interacting pairs,not found in same PDB complex
O00115,Q8WYK2,0.0179749149829149,0,O00115:Q8WYK2,False,0,-1,non-interacting pairs,not found in same PDB complex
O00206,P58753,0.5780335068702698,1,O00206:P58753,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
O00206,Q86XR7,0.6357056498527527,1,O00206:Q86XR7,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
O00206,Q99836,0.5041880011558533,1,O00206:Q99836,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
O00206,Q9NPH5,0.0219268854707479,0,O00206:Q9NPH5,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
O00206,Q9Y6Y9,0.3649425804615021,0,O00206:Q9Y6Y9,False,1,1,HINT-binary-HQ-LC,direct physical interaction
O00217,O15239,0.7104517221450806,1,O00217:O15239,False,1,1,HINT-binary-HQ-LC,direct physical interaction
O00217,O43181,0.8031060099601746,1,O00217:O43181,False,1,1,HINT-binary-HQ-LC,direct physical interaction
O00233,O43865,0.2004923373460769,0,O00233:O43865,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
O00311,P49736,0.5940353274345398,1,O00311:P49736,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
O00311,Q9UBU7,0.4699859023094177,0,O00311:Q9UBU7,False,1,1,HINT-binary-HQ-LC,direct physical interaction
O00459,Q96HT8,0.0939820036292076,0,O00459:Q96HT8,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
O00522,P61224,0.2056619673967361,0,O00522:P61224,False,1,1,HINT-binary-HQ-LC,direct physical interaction
O00623,P29033,0.1400898844003677,0,O00623:P29033,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
O00623,Q6UWT4,0.2929225862026214,0,O00623:Q6UWT4,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
O00767,Q8TED1,0.0947059616446495,0,O00767:Q8TED1,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
O14503,Q15038,0.0252408795058727,0,O14503:Q15038,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
O14639,Q9P2I0,0.1578143239021301,0,O14639:Q9P2I0,False,0,-1,non-interacting pairs,not found in same PDB complex
O14641,Q96GG9,0.7178893685340881,1,O14641:Q96GG9,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
O14653,O94855,0.4995515942573547,0,O14653:O94855,False,1,1,HINT-binary-HQ-LC,direct physical interaction
O14818,O14818,0.7103090286254883,1,O14818:O14818,True,1,0,HINT-binary-HQ-LC,no physical interaction
O14818,P28065,0.753005862236023,1,O14818:P28065,False,1,0,HINT-binary-HQ-LC,no physical interaction
O14818,P49721,0.78106689453125,1,O14818:P49721,False,1,1,HINT-binary-HQ-LC,direct physical interaction
O14818,P60900,0.7322444915771484,1,O14818:P60900,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P30153,Q9Y570,0.3450973629951477,0,P30153:Q9Y570,False,1,0,HINT-binary-HQ-LC,no physical interaction
P30511,P43629,0.5239786505699158,1,P30511:P43629,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P30511,P43630,0.3799486756324768,0,P30511:P43630,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P30511,P61769,0.8203628063201904,1,P30511:P61769,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P30511,Q14943,0.5066010355949402,1,P30511:Q14943,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P30518,P62873,0.8479008078575134,1,P30518:P62873,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P30518,Q5JWF2,0.7552194595336914,1,P30518:Q5JWF2,False,0,-1,non-interacting pairs,not found in same PDB complex
P30519,Q9NR31,0.2528502941131592,0,P30519:Q9NR31,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P31146,Q96JD6,0.143349751830101,0,P31146:Q96JD6,False,0,-1,non-interacting pairs,not found in same PDB complex
P31153,Q00266,0.8077936172485352,1,P31153:Q00266,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P31273,P50222,0.3320430517196655,0,P31273:P50222,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P31321,P38936,0.1826219260692596,0,P31321:P38936,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P31946,Q92934,0.0983810126781463,0,P31946:Q92934,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P31946,Q9NP71,0.1827314794063568,0,P31946:Q9NP71,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P31946,Q9P0K1,0.2845205664634704,0,P31946:Q9P0K1,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P31946,Q9UQ84,0.3847227692604065,0,P31946:Q9UQ84,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P32242,Q3LI64,0.0004287636838853,0,P32242:Q3LI64,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P32780,Q8IV01,0.0673540085554122,0,P32780:Q8IV01,False,0,-1,non-interacting pairs,not found in same PDB complex
P33240,Q9Y6H3,0.0388936698436737,0,P33240:Q9Y6H3,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P33241,Q92876,0.4995243549346924,0,P33241:Q92876,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P33991,P33991,0.740342378616333,1,P33991:P33991,True,1,0,HINT-binary-HQ-LC,no physical interaction
P33991,P49736,0.735558032989502,1,P33991:P49736,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P34741,P34741,0.5422567129135132,1,P34741:P34741,True,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P34897,P34897,0.8276765942573547,1,P34897:P34897,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P34897,Q2M3T9,0.0609770976006984,0,P34897:Q2M3T9,False,0,-1,non-interacting pairs,not found in same PDB complex
P34981,Q8WW34,0.4994929730892181,0,P34981:Q8WW34,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P35212,P60033,0.7329760789871216,1,P35212:P60033,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P35226,P35226,0.7579001784324646,1,P35226:P35226,True,1,0,HINT-binary-HQ-LC,no physical interaction
P35249,P35250,0.6935747861862183,1,P35249:P35250,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P36578,Q8NBP7,0.0375191383063793,0,P36578:Q8NBP7,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P36941,P36941,0.7248664498329163,1,P36941:P36941,True,1,0,HINT-binary-HQ-LC,no physical interaction
P36941,Q12933,0.7732115983963013,1,P36941:Q12933,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P37173,P37173,0.7662294507026672,1,P37173:P37173,True,1,0,HINT-binary-HQ-LC,no physical interaction
P37231,Q15596,0.721027672290802,1,P37231:Q15596,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P38484,P38484,0.6134659647941589,1,P38484:P38484,True,1,0,HINT-binary-HQ-LC,no physical interaction
P40337,Q92905,0.6230635643005371,1,P40337:Q92905,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P40337,Q99814,0.22987000644207,0,P40337:Q99814,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P40337,Q9UNS2,0.5701014399528503,1,P40337:Q9UNS2,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P40616,P40616,0.8533482551574707,1,P40616:P40616,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P40616,Q8TEU8,0.1010491847991943,0,P40616:Q8TEU8,False,0,-1,non-interacting pairs,not found in same PDB complex
P40933,P40933,0.5785420536994934,1,P40933:P40933,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P40937,P40938,0.6983398795127869,1,P40937:P40938,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P40938,P62380,0.7478365898132324,1,P40938:P62380,False,0,-1,non-interacting pairs,not found in same PDB complex
P40967,P40967,0.5467904806137085,1,P40967:P40967,True,1,0,HINT-binary-HQ-LC,no physical interaction
P41250,Q16520,0.4995557069778442,0,P41250:Q16520,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P41271,Q9UBP9,0.0877109766006469,0,P41271:Q9UBP9,False,0,-1,non-interacting pairs,not found in same PDB complex
P42285,Q13868,0.6971548795700073,1,P42285:Q13868,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P42285,Q5RKV6,0.0994033366441726,0,P42285:Q5RKV6,False,1,0,HINT-binary-HQ-LC,no physical interaction
P42285,Q6NZY4,0.5763865113258362,1,P42285:Q6NZY4,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P42285,Q99547,0.5758898258209229,1,P42285:Q99547,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P42285,Q9NQT5,0.7147418260574341,1,P42285:Q9NQT5,False,1,0,HINT-binary-HQ-LC,no physical interaction
P42773,Q9HD26,0.4994722902774811,0,P42773:Q9HD26,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P42857,Q8TBE3,0.4990265667438507,0,P42857:Q8TBE3,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P43235,Q96PF1,0.2330279946327209,0,P43235:Q96PF1,False,0,-1,non-interacting pairs,not found in same PDB complex
P43356,Q15078,0.110953003168106,0,P43356:Q15078,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P43699,P55317,0.6906288266181946,1,P43699:P55317,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P43897,Q9Y5P8,0.0409876145422458,0,P43897:Q9Y5P8,False,0,-1,non-interacting pairs,not found in same PDB complex
P45379,Q99958,0.0240802597254514,0,P45379:Q99958,False,0,-1,non-interacting pairs,not found in same PDB complex
P45973,Q92560,0.5465878844261169,1,P45973:Q92560,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P46439,P46439,0.7934894561767578,1,P46439:P46439,True,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P46781,P63220,0.7145730257034302,1,P46781:P63220,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P46781,Q9BRS2,0.7201061248779297,1,P46781:Q9BRS2,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P46782,P62249,0.7751245498657227,1,P46782:P62249,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P46782,P62263,0.7398928999900818,1,P46782:P62263,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P46782,P62851,0.7949614524841309,1,P46782:P62851,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P47710,Q9UHD9,0.0118826311081647,0,P47710:Q9UHD9,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P47813,P62266,0.7154844999313354,1,P47813:P62266,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P47813,P62826,0.501918375492096,1,P47813:P62826,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P47813,P62861,0.7697650790214539,1,P47813:P62861,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P47813,Q6QHF9,0.1957593858242035,0,P47813:Q6QHF9,False,0,-1,non-interacting pairs,not found in same PDB complex
P47870,P47870,0.7325811386108398,1,P47870:P47870,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P47893,Q9UQ16,0.0143846375867724,0,P47893:Q9UQ16,False,0,-1,non-interacting pairs,not found in same PDB complex
P48146,Q8ND90,0.0669722408056259,0,P48146:Q8ND90,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P48163,Q8NHY3,0.0233912467956542,0,P48163:Q8NHY3,False,0,-1,non-interacting pairs,not found in same PDB complex
P48165,Q69YG0,0.2498853057622909,0,P48165:Q69YG0,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P48382,Q13077,0.3618234992027282,0,P48382:Q13077,False,0,-1,non-interacting pairs,not found in same PDB complex
P48729,Q96SW2,0.408518522977829,0,P48729:Q96SW2,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P49736,Q14566,0.7215296030044556,1,P49736:Q14566,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P49736,Q71DI3,0.5435575246810913,1,P49736:Q71DI3,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P49736,Q8WXX5,0.3157643377780914,0,P49736:Q8WXX5,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P49736,Q9NVP2,0.756541907787323,1,P49736:Q9NVP2,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P49910,Q9NWS9,0.0852880030870437,0,P49910:Q9NWS9,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P50213,P50213,0.8195797204971313,1,P50213:P50213,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P50213,P51553,0.8354952335357666,1,P50213:P51553,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P50222,Q6ZVT0,0.4997890293598175,0,P50222:Q6ZVT0,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P50225,P50225,0.7512661218643188,1,P50225:P50225,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P50225,Q8IXF9,0.1254276931285858,0,P50225:Q8IXF9,False,0,-1,non-interacting pairs,not found in same PDB complex
P50402,Q8IWZ5,0.2497233301401138,0,P50402:Q8IWZ5,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P50440,Q5SR56,0.0150054153054952,0,P50440:Q5SR56,False,0,-1,non-interacting pairs,not found in same PDB complex
P50539,Q6A162,0.3333046436309814,0,P50539:Q6A162,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P50552,Q15942,0.5422419309616089,1,P50552:Q15942,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P50553,P50553,0.5824037194252014,1,P50553:P50553,True,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P50583,Q8IX18,0.2500352263450622,0,P50583:Q8IX18,False,0,-1,non-interacting pairs,not found in same PDB complex
P50591,Q13158,0.8030971884727478,1,P50591:Q13158,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P50607,P61960,0.212294340133667,0,P50607:P61960,False,0,-1,non-interacting pairs,not found in same PDB complex
P50749,Q5SWA1,0.0406430177390575,0,P50749:Q5SWA1,False,0,-1,non-interacting pairs,not found in same PDB complex
P50897,Q8IWS0,0.0686671212315559,0,P50897:Q8IWS0,False,0,-1,non-interacting pairs,not found in same PDB complex
P50995,Q6NW34,0.285662442445755,0,P50995:Q6NW34,False,0,-1,non-interacting pairs,not found in same PDB complex
P51114,P51116,0.7077340483665466,1,P51114:P51116,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P51116,Q9UI14,0.0665173232555389,0,P51116:Q9UI14,False,-1,-1,unclear (exclude for analysis),not found in same PDB complex
P51149,P51149,0.7471724152565002,1,P51149:P51149,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P51157,Q5TYW2,0.0957565307617187,0,P51157:Q5TYW2,False,0,-1,non-interacting pairs,not found in same PDB complex
P51157,Q75LS8,0.4987070560455322,0,P51157:Q75LS8,False,0,-1,non-interacting pairs,not found in same PDB complex
P51159,Q5T2L2,0.1894951611757278,0,P51159:Q5T2L2,False,0,-1,non-interacting pairs,not found in same PDB complex
P51504,Q5BKX5,0.499580442905426,0,P51504:Q5BKX5,False,0,-1,non-interacting pairs,not found in same PDB complex
P51504,Q70Z53,0.4995324611663818,0,P51504:Q70Z53,False,0,-1,non-interacting pairs,not found in same PDB complex
P51668,Q6UWE0,0.8152344226837158,1,P51668:Q6UWE0,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P51668,Q86XT4,0.7808567881584167,1,P51668:Q86XT4,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P51946,Q92759,0.6659201383590698,1,P51946:Q92759,False,1,0,HINT-binary-HQ-LC,no physical interaction
P52815,Q92748,0.0816928893327713,0,P52815:Q92748,False,0,-1,non-interacting pairs,not found in same PDB complex
P53004,P53004,0.698728621006012,1,P53004:P53004,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P53007,Q8NHX4,0.4993447661399841,0,P53007:Q8NHX4,False,0,-1,non-interacting pairs,not found in same PDB complex
P53041,Q16543,0.640917956829071,1,P53041:Q16543,False,1,0,HINT-binary-HQ-LC,no physical interaction
P53365,P53365,0.7290754318237305,1,P53365:P53365,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P53365,P62330,0.5208902359008789,1,P53365:P62330,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P53365,P63000,0.2898563742637634,0,P53365:P63000,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P53567,Q6P1R4,0.4994291365146637,0,P53567:Q6P1R4,False,0,-1,non-interacting pairs,not found in same PDB complex
P53673,P62380,0.2503511607646942,0,P53673:P62380,False,0,-1,non-interacting pairs,not found in same PDB complex
P53794,Q68DK7,0.0152567140758037,0,P53794:Q68DK7,False,0,-1,non-interacting pairs,not found in same PDB complex
P53803,P62875,0.7065240144729614,1,P53803:P62875,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P53803,Q00403,0.6908977031707764,1,P53803:Q00403,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P53990,P53990,0.6993527412414551,1,P53990:P53990,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P53990,Q8N0X7,0.2829454243183136,0,P53990:Q8N0X7,False,1,1,HINT-binary-HQ-LC,direct physical interaction
P53999,P53999,0.572978675365448,1,P53999:P53999,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P54105,P62306,0.821548581123352,1,P54105:P62306,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P54105,P62308,0.7353881597518921,1,P54105:P62308,False,1,-1,HINT-binary-HQ-LC,not found in same PDB complex
P54105,Q6UUV9,0.2230779081583023,0,P54105:Q6UUV9,False,0,-1,non-interacting pairs,not found in same PDB complex
P54252,Q5VTD9,0.0737975612282753,0,P54252:Q5VTD9,False,0,-1,non-interacting pairs,not found in same PDB complex
P54578,P54578,0.7522624135017395,1,P54578:P54578,True,1,1,HINT-binary-HQ-LC,direct physical interaction
P54578,P62191,0.7143441438674927,1,P54578:P62191,False,1,1,HINT-binary-HQ-LC,direct physical interaction
