ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P62306:P62308,0.5387986411267631,0.91,P62306,P62308,0.84,0.84,0.84,88.12,5.983,0.93,0.701,10893,6.664,3.59,96.583,96.026,97.141,0.97,0.977,0.964,0.872,1,1,HINT-binary-HQ-LC,direct physical interaction,False
O75554:O75554,0.4728670862878841,0.886,O75554,O75554,0.15,0.16,0.2,47.36,29.577,0.48,0.0,0,30.687,12.0,75.71,75.293,76.127,0.198,0.198,0.198,0.012,0,0,non-interacting pairs,no physical interaction,True
P62306:P62314,0.40117957226231127,0.871,P62306,P62314,0.54,0.55,0.59,73.63,16.367,0.7,0.127,5192,19.503,10.482,91.652,92.322,90.981,0.607,0.555,0.66,0.147,1,1,HINT-binary-HQ-LC,direct physical interaction,False
O75554:P62316,0.04772436170223521,0.636,O75554,P62316,0.12,0.14,0.22,53.57,28.34,0.22,0.0,0,30.67,12.0,58.779,35.723,81.836,0.103,0.098,0.109,0.009,-1,0,unclear (exclude for analysis),no physical interaction,False
P62306:P83369,0.5464380074366896,0.916,P62306,P83369,0.83,0.758,0.47,67.61,23.781,1.05,0.521,16355,22.06,5.743,92.981,94.655,91.307,0.832,0.833,0.832,0.485,1,1,HINT-binary-HQ-LC,direct physical interaction,False
O75554:P62314,0.21510957594365723,0.759,O75554,P62314,0.1,0.122,0.21,56.81,28.818,0.44,0.0,0,31.105,12.0,76.726,81.955,71.498,0.115,0.108,0.123,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P62306:P83876,0.11935764903574238,0.686,P62306,P83876,0.06,0.148,0.5,72.57,17.966,0.2,0.0,0,28.06,12.0,69.946,84.316,55.576,0.143,0.14,0.147,0.01,1,0,HINT-binary-HQ-LC,no physical interaction,False
O75554:P62318,0.0,0.0,O75554,P62318,0.07,0.1,0.22,57.76,28.986,0.43,0.0,0,31.471,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62306:Q2TAY7,0.13604537959411983,0.706,P62306,Q2TAY7,0.18,0.258,0.57,81.08,18.372,0.28,0.0,0,28.607,12.0,84.171,78.422,89.92,0.145,0.145,0.145,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
O75521:P34910,0.16420852328312935,0.73,O75521,P34910,0.18,0.222,0.39,55.24,27.17,0.52,0.0,0,30.859,12.0,65.304,90.708,39.9,0.175,0.181,0.169,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P62308:P62318,0.5790186188475143,0.924,P62308,P62318,0.86,0.832,0.72,80.27,12.775,0.95,0.688,11977,12.609,3.738,96.769,97.479,96.06,0.97,0.966,0.975,0.875,1,1,HINT-binary-HQ-LC,direct physical interaction,False
O75558:O75558,0.6643549810123935,0.981,O75558,O75558,0.5,0.496,0.48,60.92,22.309,0.64,0.479,28225,23.37,6.253,84.085,84.145,84.025,0.809,0.809,0.809,0.297,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,True
P68871:P68871,0.4597403283570487,0.886,P68871,P68871,0.79,0.796,0.82,81.53,6.779,0.8,0.515,34593,8.096,5.82,92.486,92.506,92.466,0.952,0.953,0.952,0.741,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P82663:P82664,0.020031932496210488,0.559,P82663,P82664,0.23,0.28,0.48,77.4,18.962,0.45,0.0,0,24.922,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
O75554:P83876,0.13236846411617406,0.706,O75554,P83876,0.42,0.396,0.3,59.54,27.531,0.68,0.047,20,30.307,11.44,79.3,70.013,88.586,0.274,0.234,0.314,0.016,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P82663:P82673,0.06743596747957889,0.636,P82663,P82673,0.1,0.18,0.5,79.77,20.389,0.3,0.0,0,30.07,12.0,90.595,89.039,92.152,0.105,0.104,0.106,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
O75530:O75530,0.45955073093569637,0.886,O75530,O75530,0.16,0.222,0.47,78.89,21.194,0.31,0.0,0,30.297,12.0,75.413,73.422,77.405,0.127,0.127,0.127,0.01,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P82663:P82912,0.0,0.0,P82663,P82912,0.05,0.12,0.4,77.01,22.017,0.3,0.0,0,31.505,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
O75530:Q8N4S9,0.44510234075683686,0.878,O75530,Q8N4S9,0.31,0.336,0.44,64.2,25.14,0.5,0.0,0,29.307,12.0,62.118,89.59,34.646,0.177,0.195,0.159,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P82663:P82921,0.04797906282766941,0.636,P82663,P82921,0.07,0.154,0.49,82.44,17.872,0.29,0.0,0,29.761,12.0,89.748,87.701,91.796,0.106,0.105,0.108,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
O75525:P15880,0.03002213166116234,0.636,O75525,P15880,0.08,0.14,0.38,66.69,25.947,0.21,0.0,0,31.271,12.0,57.987,85.493,30.48,0.113,0.129,0.098,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
O75554:P62306,0.33594696871841334,0.834,O75554,P62306,0.27,0.258,0.21,54.96,28.397,0.56,0.0,0,30.123,12.0,81.282,80.856,81.709,0.164,0.125,0.202,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
O75554:P62308,0.2122315485805971,0.759,O75554,P62308,0.32,0.298,0.21,56.97,28.254,0.45,0.01,9,30.058,11.878,83.34,76.728,89.953,0.218,0.144,0.292,0.014,-1,0,unclear (exclude for analysis),no physical interaction,False
O75554:Q2TAY7,0.03491927610527906,0.636,O75554,Q2TAY7,0.13,0.188,0.42,70.5,25.742,0.36,0.0,0,31.374,12.0,72.47,56.224,88.716,0.157,0.144,0.169,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
O75530:Q15910,0.7131992305379138,0.981,O75530,Q15910,0.82,0.804,0.74,74.0,17.104,0.93,0.426,283893,17.299,6.892,91.201,91.615,90.787,0.903,0.896,0.909,0.601,1,1,HINT-binary-HQ-LC,direct physical interaction,False
O75558:Q2MJR0,0.21240393264672197,0.759,O75558,Q2MJR0,0.57,0.556,0.5,58.79,23.502,0.74,0.287,28933,24.538,8.554,72.379,75.118,69.64,0.622,0.629,0.616,0.069,0,-1,non-interacting pairs,not found in same PDB complex,False
O75506:O75506,0.23855054727246813,0.778,O75506,O75506,0.33,0.358,0.47,68.65,14.868,0.61,0.22,3300,18.012,9.361,70.189,70.131,70.247,0.43,0.438,0.421,0.027,1,1,HINT-binary-HQ-LC,direct physical interaction,True
O75496:O75496,0.610874478950325,0.94,O75496,O75496,0.34,0.34,0.34,59.63,26.869,0.73,0.586,8316,27.788,4.964,93.638,93.683,93.594,0.954,0.954,0.954,0.772,1,1,HINT-binary-HQ-LC,direct physical interaction,True
O75525:P09234,0.121927716512426,0.706,O75525,P09234,0.13,0.168,0.32,60.17,27.653,0.46,0.0,0,30.769,12.0,89.085,89.733,88.438,0.196,0.218,0.173,0.014,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
O75503:P61981,0.22949548315138935,0.778,O75503,P61981,0.37,0.4,0.52,78.12,18.976,0.45,0.035,26,28.691,11.575,64.732,43.668,85.796,0.254,0.224,0.283,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
O75554:P62304,0.038708936957143725,0.636,O75554,P62304,0.14,0.156,0.22,56.59,28.558,0.34,0.0,0,31.276,12.0,44.086,40.772,47.399,0.098,0.094,0.102,0.008,-1,0,unclear (exclude for analysis),no physical interaction,False
Q68DK7:Q7Z5A8,0.2498700975072969,0.785,Q68DK7,Q7Z5A8,0.32,0.298,0.21,59.02,29.422,0.68,0.0,0,30.686,12.0,64.091,49.797,78.385,0.198,0.15,0.247,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5XKP0:Q96RI1,0.12608482379876484,0.706,Q5XKP0,Q96RI1,0.25,0.288,0.44,53.7,24.108,0.44,0.029,27,27.348,11.651,51.394,39.675,63.114,0.254,0.251,0.256,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q69YL0:Q6NXT1,0.0704093775800324,0.667,Q69YL0,Q6NXT1,0.16,0.194,0.33,50.4,25.226,0.38,0.0,0,28.803,12.0,50.605,48.625,52.584,0.225,0.229,0.221,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5VVY1:Q5VVY1,0.027464435422150456,0.559,Q5VVY1,Q5VVY1,0.11,0.172,0.42,70.32,21.451,0.21,0.0,0,29.477,12.0,39.646,39.235,40.057,0.149,0.15,0.148,0.009,1,1,HINT-binary-HQ-LC,direct physical interaction,True
Q6DKI7:Q70UQ0,0.24823715384566067,0.785,Q6DKI7,Q70UQ0,0.24,0.25,0.29,73.8,27.183,0.55,0.072,585,29.743,11.138,83.812,81.717,85.907,0.339,0.329,0.349,0.024,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6AZY7:Q9GZQ8,0.14865721069306387,0.714,Q6AZY7,Q9GZQ8,0.16,0.182,0.27,71.91,27.756,0.49,0.0,0,31.074,12.0,87.359,85.883,88.835,0.119,0.127,0.111,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6DD88:Q8IWV1,0.23636296993641578,0.778,Q6DD88,Q8IWV1,0.25,0.294,0.47,59.23,24.95,0.52,0.0,0,30.573,12.0,67.044,83.248,50.84,0.158,0.171,0.145,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
