ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,LIA_std,LIA_median,LIA_top5_avg,LIA_top10_avg,LIA_percentage,SLIRS,SLIRS_area,SLIRS_std,SLIRS_median,SLIRS_top5_avg,SLIRS_top10_avg,SLIRS_percentage,SC_LIS,SC_LIS_area,ICS_bin,ICS_log,mean_interface,compactness,total_interface_weight,LIP,PWID,ZIES,global_mean,global_std,interface_mean_z,ZCP,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P82663:P82933,0.22286470408350265,0.778,P82663,P82933,0.16,0.222,0.47,75.88,21.075,0.34,0.0,0,29.249,12.0,0.0,0.0,0.0,0.0,0.0,0.0,37.732,0.0,0.0,0.004,0.003,0.028,0.0,0.0,0.0,0.0,0.0,0.0,36.486,0.0,0.0,-0.716,0.015,0.116,-0.133,-0.133,87.051,89.899,84.202,0.122,0.119,0.125,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P50591:Q13158,0.2620349949978865,0.785,P50591,Q13158,0.18,0.22,0.38,74.92,23.442,0.31,0.0,0,28.822,12.0,0.0,0.0,0.0,0.0,0.0,0.001,102.589,0.003,0.0,0.138,0.119,0.088,0.0,0.0,0.0,0.0,0.001,0.0,96.497,0.0,0.0,-0.496,0.019,0.129,-0.147,-0.147,77.324,74.486,80.162,0.143,0.158,0.128,0.01,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82663:Q16540,0.0,0.0,P82663,Q16540,0.06,0.136,0.44,84.86,20.016,0.29,0.0,0,30.545,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.171,0.0,0.0,0.001,0.001,0.012,0.0,0.0,0.0,0.0,0.0,0.0,5.501,0.0,0.0,-0.789,0.026,0.151,-0.171,-0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P50607:P61960,0.3382213124057611,0.834,P50607,P61960,0.25,0.292,0.46,62.07,24.75,0.5,0.0,0,28.841,12.0,0.0,0.0,0.0,0.0,0.0,0.001,55.193,0.002,0.0,0.075,0.068,0.064,0.0,0.0,0.0,0.0,0.001,0.0,53.879,0.0,0.0,-0.504,0.014,0.112,-0.116,-0.116,64.909,71.224,58.594,0.145,0.15,0.14,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P82663:Q4U2R6,0.040285873646926665,0.636,P82663,Q4U2R6,0.07,0.152,0.48,81.17,19.599,0.32,0.0,0,29.66,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.841,0.001,0.0,0.011,0.011,0.031,0.0,0.0,0.0,0.0,0.0,0.0,12.707,0.0,0.0,-0.809,0.027,0.157,-0.173,-0.173,75.474,61.898,89.05,0.127,0.115,0.139,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P50749:Q5SWA1,0.06256308670892732,0.636,P50749,Q5SWA1,0.13,0.158,0.27,49.89,29.728,0.54,0.0,0,31.178,12.0,0.0,0.0,0.0,0.0,0.0,0.0,35.372,0.0,0.0,0.02,0.018,0.008,0.0,0.0,0.0,0.0,0.0,0.0,44.175,0.0,0.0,-0.221,0.008,0.075,-0.103,-0.103,72.066,84.461,59.671,0.159,0.176,0.142,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P82664:P82914,0.01901069536426964,0.559,P82664,P82914,0.09,0.152,0.4,72.46,23.77,0.39,0.0,0,30.357,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.257,0.0,0.0,0.004,0.004,0.015,0.0,0.0,0.0,0.0,0.0,0.0,14.436,0.0,0.0,-0.567,0.018,0.126,-0.143,-0.143,57.8,76.37,39.23,0.097,0.099,0.095,0.009,-1,0,unclear (exclude for analysis),no physical interaction,False
P50897:Q8IWS0,0.4502174238211776,0.886,P50897,Q8IWS0,0.29,0.324,0.46,72.73,23.367,0.43,0.0,0,29.752,12.0,0.0,0.0,0.0,0.0,0.0,0.0,106.052,0.004,0.0,0.251,0.233,0.047,0.0,0.0,0.0,0.0,0.001,0.0,119.978,0.0,0.0,-0.56,0.015,0.113,-0.125,-0.125,67.794,80.482,55.106,0.173,0.194,0.153,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P82664:Q16540,0.02050456729386452,0.559,P82664,Q16540,0.08,0.146,0.41,77.32,22.332,0.37,0.0,0,30.148,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.548,0.0,0.0,0.003,0.002,0.017,0.0,0.0,0.0,0.0,0.0,0.0,9.498,0.0,0.0,-0.627,0.022,0.14,-0.16,-0.16,93.65,94.62,92.68,0.128,0.133,0.123,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P50995:Q6NW34,0.20754332195944614,0.759,P50995,Q6NW34,0.25,0.282,0.41,60.81,25.342,0.49,0.0,0,28.329,12.0,0.0,0.0,0.0,0.0,0.0,0.002,1023.288,0.005,0.0,0.244,0.205,0.179,0.0,0.0,0.0,0.0,0.002,0.0,1007.709,0.0,0.0,-0.403,0.008,0.084,-0.095,-0.095,65.916,56.846,74.986,0.184,0.179,0.188,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P82673:P82914,0.018965187569753683,0.559,P82673,P82914,0.33,0.374,0.55,75.22,19.263,0.56,0.047,1472,23.394,11.431,0.033,0.042,0.153,0.148,0.887,0.069,11396.216,0.124,0.007,0.825,0.818,6.864,0.007,1209.368,1.0,0.005,0.061,0.083,10066.978,1.171,0.0,-0.583,0.014,0.113,-0.126,-0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51114:P51116,0.3799021319391223,0.855,P51114,P51116,0.31,0.316,0.34,60.11,27.907,0.52,0.119,6775,29.857,10.577,0.093,0.108,0.508,0.487,0.811,0.013,10513.86,0.075,0.0,1.036,1.026,1.258,0.006,4995.273,1.0,0.005,0.012,0.443,10261.847,4.19,0.0,-0.274,0.006,0.074,-0.082,-0.082,64.217,66.813,61.621,0.258,0.241,0.276,0.013,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82673:Q16540,0.024283049109254624,0.559,P82673,Q16540,0.16,0.234,0.53,79.88,19.822,0.4,0.0,0,28.122,12.0,0.0,0.0,0.0,0.0,0.0,0.001,71.993,0.001,0.0,0.013,0.012,0.073,0.0,0.0,0.0,0.0,0.001,0.0,63.309,0.0,0.0,-0.748,0.017,0.123,-0.137,-0.137,90.415,89.6,91.23,0.133,0.13,0.137,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P51116:Q9UI14,0.030293440492147043,0.636,P51116,Q9UI14,0.11,0.15,0.31,63.44,27.43,0.35,0.0,0,31.21,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.005,0.0,0.0,0.002,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,-0.372,0.009,0.09,-0.103,-0.103,63.344,91.332,35.356,0.13,0.132,0.128,0.009,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P82675:P82914,0.0,0.0,P82675,P82914,0.09,0.17,0.49,73.44,23.156,0.39,0.0,0,31.074,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.37,0.0,0.0,0.012,0.01,0.008,0.0,0.0,0.0,0.0,0.0,0.0,17.448,0.0,0.0,-0.636,0.013,0.105,-0.117,-0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51149:P51149,0.07048487041734382,0.667,P51149,P51149,0.13,0.19,0.43,67.42,19.98,0.24,0.0,0,26.931,12.0,0.0,0.0,0.0,0.0,0.0,0.001,94.035,0.002,0.001,0.04,0.037,0.11,0.0,0.0,0.0,0.0,0.001,0.0,104.24,0.0,0.0,-0.654,0.025,0.141,-0.154,-0.154,57.936,57.845,58.027,0.157,0.157,0.156,0.01,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P82914:P82930,0.0,0.0,P82914,P82930,0.08,0.146,0.41,77.17,22.004,0.32,0.0,0,30.491,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.09,0.0,0.0,0.003,0.003,0.013,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,-0.681,0.018,0.126,-0.142,-0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51157:Q5TYW2,0.055765614313728035,0.636,P51157,Q5TYW2,0.19,0.218,0.33,62.4,27.322,0.34,0.0,0,30.484,12.0,0.0,0.0,0.0,0.0,0.0,0.0,86.438,0.001,0.0,0.019,0.018,0.024,0.0,0.0,0.0,0.0,0.0,0.0,89.787,0.0,0.0,-0.358,0.009,0.087,-0.1,-0.1,52.825,46.537,59.113,0.126,0.134,0.119,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82914:P82933,0.0,0.0,P82914,P82933,0.1,0.168,0.44,72.53,23.191,0.34,0.0,0,30.741,12.0,0.0,0.0,0.0,0.0,0.0,0.0,18.61,0.0,0.0,0.001,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,18.933,0.0,0.0,-0.631,0.013,0.108,-0.122,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51157:Q75LS8,0.05526861022125473,0.636,P51157,Q75LS8,0.2,0.25,0.45,57.54,21.486,0.32,0.0,0,26.609,12.0,0.0,0.0,0.0,0.0,0.0,0.003,214.814,0.01,0.0,0.264,0.228,0.342,0.0,0.0,0.0,0.0,0.004,0.0,264.86,0.0,0.0,-0.571,0.027,0.139,-0.166,-0.166,53.017,48.73,57.305,0.229,0.247,0.212,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q4G0W2:Q4G0W2,0.5115347866931501,0.9,Q4G0W2,Q4G0W2,0.62,0.642,0.73,84.17,10.841,0.72,0.319,40337,13.621,8.168,0.114,0.333,0.667,0.659,65.11,0.67,41498.872,0.455,0.933,1.17,1.169,66.986,0.569,35246.85,1.0,0.555,0.58,0.958,35906.723,4.783,0.091,-0.202,0.031,0.168,-0.173,-0.173,89.818,89.83,89.805,0.765,0.764,0.766,0.309,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P51159:Q5T2L2,0.03739505233821227,0.636,P51159,Q5T2L2,0.15,0.22,0.5,54.25,21.014,0.28,0.0,0,26.99,12.0,0.0,0.0,0.0,0.0,0.0,0.003,151.552,0.007,0.0,0.103,0.097,0.266,0.0,0.0,0.0,0.0,0.003,0.0,198.582,0.0,0.0,-0.597,0.028,0.143,-0.178,-0.178,46.349,60.983,31.715,0.174,0.162,0.186,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5FBB7:Q86XP6,0.050000638232405636,0.636,Q5FBB7,Q86XP6,0.2,0.218,0.29,51.28,28.949,0.57,0.0,0,30.933,12.0,0.0,0.0,0.0,0.0,0.0,0.0,27.063,0.0,0.0,0.018,0.015,0.013,0.0,0.0,0.0,0.0,0.0,0.0,31.963,0.0,0.0,-0.276,0.009,0.091,-0.099,-0.099,62.425,46.589,78.261,0.16,0.153,0.167,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P51504:Q5BKX5,0.11451563426529203,0.686,P51504,Q5BKX5,0.17,0.228,0.46,62.09,24.5,0.37,0.0,0,29.941,12.0,0.0,0.0,0.0,0.0,0.0,0.0,58.941,0.001,0.0,0.01,0.009,0.031,0.0,0.0,0.0,0.0,0.0,0.0,63.295,0.0,0.0,-0.496,0.014,0.113,-0.124,-0.124,62.894,63.112,62.677,0.138,0.135,0.141,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5FWE3:Q5T2R2,0.050584345077561904,0.636,Q5FWE3,Q5T2R2,0.22,0.242,0.33,51.63,28.825,0.53,0.0,0,31.239,12.0,0.0,0.0,0.0,0.0,0.0,0.0,64.412,0.0,0.0,0.03,0.029,0.008,0.0,0.0,0.0,0.0,0.0,0.0,78.153,0.0,0.0,-0.306,0.006,0.07,-0.08,-0.08,48.412,37.291,59.533,0.13,0.126,0.134,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P51504:Q70Z53,0.2040724582152217,0.759,P51504,Q70Z53,0.26,0.278,0.35,51.47,26.118,0.48,0.153,1105,28.221,10.159,0.106,0.142,0.45,0.443,0.642,0.008,1359.877,0.054,0.0,0.868,0.855,0.791,0.003,453.103,1.0,0.005,0.01,0.471,1649.159,4.797,0.0,-0.312,0.014,0.107,-0.117,-0.117,62.328,58.603,66.054,0.366,0.35,0.381,0.018,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5GJ75:Q5GJ75,0.52915288953868,0.91,Q5GJ75,Q5GJ75,0.53,0.516,0.46,65.95,21.253,0.72,0.391,16434,23.677,7.308,0.203,0.425,0.777,0.769,9.637,0.113,19316.625,0.27,0.001,1.09,1.089,11.328,0.065,11069.338,1.0,0.083,0.111,0.751,18876.621,5.416,0.018,-0.298,0.015,0.115,-0.12,-0.12,77.894,77.676,78.112,0.682,0.682,0.681,0.118,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P51668:Q6UWE0,0.340482692233902,0.834,P51668,Q6UWE0,0.66,0.604,0.38,69.82,24.32,0.69,0.114,3073,26.012,10.635,0.095,0.092,0.53,0.508,1.446,0.025,5368.851,0.097,0.001,0.963,0.959,2.526,0.009,1983.96,1.0,0.009,0.025,0.371,5409.582,3.752,0.001,-0.378,0.011,0.099,-0.111,-0.111,81.38,85.987,76.772,0.347,0.367,0.327,0.024,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q5GJ75:Q5VTH2,0.0,0.0,Q5GJ75,Q5VTH2,0.06,0.12,0.36,58.12,26.137,0.37,0.0,0,31.513,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.681,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,6.032,0.0,0.0,-0.441,0.018,0.117,-0.153,-0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P51668:Q86XT4,0.41090064049008085,0.871,P51668,Q86XT4,0.65,0.612,0.46,76.54,20.563,0.68,0.136,7506,24.197,10.368,0.099,0.117,0.557,0.538,5.242,0.062,8873.475,0.173,0.001,1.024,1.018,6.198,0.038,5372.573,1.0,0.035,0.061,0.579,8778.28,3.602,0.003,-0.449,0.015,0.117,-0.126,-0.126,83.918,85.286,82.55,0.349,0.354,0.344,0.026,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q5H9L4:Q8N0X7,0.11613491820726728,0.686,Q5H9L4,Q8N0X7,0.16,0.182,0.27,53.47,29.081,0.37,0.0,0,31.134,12.0,0.0,0.0,0.0,0.0,0.0,0.0,52.969,0.0,0.0,0.016,0.015,0.009,0.0,0.0,0.0,0.0,0.0,0.0,62.992,0.0,0.0,-0.233,0.009,0.076,-0.115,-0.115,75.564,70.339,80.789,0.149,0.14,0.158,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62847,0.02049384639076154,0.559,P62280,P62847,0.23,0.296,0.56,87.01,14.925,0.42,0.0,0,23.366,12.0,0.0,0.0,0.0,0.0,0.0,0.011,455.048,0.014,0.006,0.148,0.142,1.083,0.0,0.0,0.0,0.0,0.009,0.0,383.931,0.0,0.0,-0.883,0.031,0.165,-0.186,-0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5JS54:Q5JS54,0.6480926616615628,0.963,Q5JS54,Q5JS54,0.73,0.726,0.71,79.46,9.354,0.78,0.481,21811,10.211,6.228,0.206,0.475,0.897,0.894,72.083,0.732,22162.737,0.419,0.943,1.194,1.193,73.246,0.535,16187.844,1.0,0.656,0.685,0.957,20718.27,5.205,0.183,-0.091,0.043,0.187,-0.182,-0.182,89.469,89.476,89.461,0.954,0.954,0.954,0.675,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P62280:P62851,0.0,0.0,P62280,P62851,0.04,0.13,0.49,78.66,21.411,0.32,0.0,0,31.584,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.193,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,-0.728,0.03,0.159,-0.19,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q5JX71:Q969Y0,0.018856428630868057,0.559,Q5JX71,Q969Y0,0.24,0.326,0.67,75.15,18.036,0.49,0.023,50,30.474,11.72,0.028,0.042,0.1,0.09,0.026,0.002,404.541,0.02,0.0,0.577,0.545,0.212,0.0,17.842,1.0,0.0,0.003,0.052,542.516,0.228,0.0,-0.899,0.013,0.111,-0.118,-0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62280:P62857,0.01888866941494722,0.559,P62280,P62857,0.25,0.328,0.64,86.42,12.795,0.42,0.067,733,21.231,11.2,0.061,0.067,0.327,0.3,3.362,0.093,2028.605,0.167,0.012,1.001,0.973,9.304,0.028,603.679,1.0,0.021,0.081,0.254,1772.586,2.453,0.001,-0.946,0.039,0.183,-0.209,-0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q5RL73:Q96RU7,0.2314883770254281,0.778,Q5RL73,Q96RU7,0.31,0.338,0.45,57.15,25.007,0.59,0.032,108,27.897,11.619,0.024,0.025,0.108,0.092,0.041,0.014,3719.969,0.05,0.0,0.686,0.659,1.416,0.0,79.185,1.0,0.0,0.013,0.017,3451.599,2.221,0.0,-0.408,0.012,0.098,-0.112,-0.112,76.339,67.062,85.615,0.314,0.281,0.346,0.019,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62280:P62861,0.0,0.0,P62280,P62861,0.06,0.144,0.48,84.24,21.344,0.33,0.0,0,30.855,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.711,0.0,0.0,-0.726,0.029,0.156,-0.186,-0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5SV97:Q8IWL3,0.1063670753782004,0.686,Q5SV97,Q8IWL3,0.13,0.16,0.28,49.35,29.749,0.51,0.0,0,31.152,12.0,0.0,0.0,0.0,0.0,0.0,0.0,44.988,0.001,0.0,0.054,0.044,0.012,0.0,0.0,0.0,0.0,0.0,0.0,51.282,0.0,0.0,-0.227,0.008,0.074,-0.101,-0.101,57.805,41.019,74.592,0.099,0.101,0.098,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62891,0.0,0.0,P62280,P62891,0.04,0.16,0.64,89.25,15.172,0.34,0.0,0,30.207,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.874,0.0,0.0,-1.103,0.04,0.189,-0.213,-0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5SZQ8:Q5VTL8,0.17232124506791105,0.73,Q5SZQ8,Q5VTL8,0.13,0.16,0.28,56.7,28.941,0.43,0.0,0,31.045,12.0,0.0,0.0,0.0,0.0,0.0,0.0,41.713,0.0,0.0,0.007,0.006,0.008,0.0,0.0,0.0,0.0,0.0,0.0,46.676,0.0,0.0,-0.266,0.008,0.083,-0.094,-0.094,87.069,84.12,90.018,0.12,0.124,0.117,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62906,0.0,0.0,P62280,P62906,0.05,0.12,0.4,75.18,20.837,0.17,0.0,0,31.61,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,3.784,0.0,0.0,-0.758,0.025,0.144,-0.174,-0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T0U0:Q96LD8,0.08399988871853178,0.667,Q5T0U0,Q96LD8,0.12,0.19,0.47,71.71,22.822,0.25,0.056,168,29.886,11.328,0.083,0.092,0.358,0.317,0.145,0.003,324.876,0.029,0.0,0.768,0.75,0.281,0.001,73.467,1.0,0.001,0.003,0.296,370.713,2.562,0.0,-0.571,0.02,0.133,-0.146,-0.146,61.36,65.681,57.039,0.129,0.132,0.126,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62913,0.0,0.0,P62280,P62913,0.16,0.236,0.54,87.86,16.274,0.32,0.0,0,26.395,12.0,0.0,0.0,0.0,0.0,0.0,0.002,89.825,0.002,0.001,0.014,0.014,0.16,0.0,0.0,0.0,0.0,0.001,0.0,75.946,0.0,0.0,-0.896,0.027,0.156,-0.175,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T1C6:Q86YJ5,0.18679211870129409,0.74,Q5T1C6,Q86YJ5,0.21,0.246,0.39,64.68,24.582,0.44,0.0,0,29.761,12.0,0.0,0.0,0.0,0.0,0.0,0.0,79.523,0.004,0.0,0.215,0.198,0.048,0.0,0.0,0.0,0.0,0.001,0.0,87.604,0.0,0.0,-0.488,0.014,0.115,-0.122,-0.122,71.442,98.002,44.883,0.205,0.23,0.18,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62917,0.0219490640443395,0.559,P62280,P62917,0.12,0.212,0.58,88.66,16.403,0.28,0.0,0,28.583,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.231,0.0,0.0,0.006,0.006,0.04,0.0,0.0,0.0,0.0,0.0,0.0,27.403,0.0,0.0,-0.974,0.022,0.143,-0.157,-0.157,84.377,74.1,94.653,0.113,0.113,0.113,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
