ppi,has_templates,pident,fident,evalue,bits
A0A077L6X8:A0A077L885,1,99.65,0.9964999999999999,4.438e-35,2627.5
A0A077L7R5:A0A077L885,1,100.0,1.0,3.5258e-34,1332.5
A0A077L885:A0A077L885,0,0.0,0.0,0.0,0.0
A0A077L885:A0A077LAI5,1,100.0,1.0,4.438e-35,2219.5
A0A077UGA7:A0A077UL47,1,100.0,1.0,5.365000000001605e-09,581.5
A0A077UGA7:W8TRC7,1,92.65,0.9265,1.460500012805e-16,812.0
A0A077UGW7:A0A077UU26,1,100.0,1.0,2.24e-09,859.0
A0A077UGW7:A0A0H2K0A0,1,100.0,1.0,7.618e-08,317.0
A0A077UU26:A0A0H2K0A0,1,100.0,1.0,2.5655e-11,867.5
A0A077UUA0:A0A077UVB6,1,85.55,0.8555,3.139591e-11,606.5
A0A077UVB6:W8U3W0,1,72.4,0.724,5.020000000007885e-15,961.0
A0A077UZF4:W8TPC6,1,100.0,1.0,1.869500013865e-08,486.0
A0A077VHU6:A0A1Q4GY48,1,100.0,1.0,5.5554e-12,548.0
A0A078K1U6:A0A078K4M9,1,98.35,0.9835,2.2955e-17,891.5
A0A080VY32:A0A080VY32,1,18.65,0.1865,6.1200000000000006e-12,610.0
A0A080VY32:Q8GQ50,0,0.0,0.0,0.0,0.0
A0A090A233:A0A232D9K2,1,100.0,1.0,9.24500000000001e-10,777.0
A0A090BZT4:A0A376HTV6,1,99.25,0.9924999999999999,1.029e-12,998.0
A0A0A0BZU2:A0A0A0BZU2,1,42.4,0.424,1.2266e-36,1536.0
A0A0A0U7Z7:A0A0A0U7Z7,1,92.95,0.9295,1.0364135e-60,2940.0
A0A0A0U7Z7:A0A0A0U955,1,95.05,0.9505,1.032e-60,3101.0
A0A0A0U7Z7:A0A0A0UEE5,0,0.0,0.0,0.0,0.0
A0A0A1I7H6:A0A0A1I7H6,1,91.3,0.913,4.73165e-29,1304.0
A0A0A1I7H6:P01903,1,96.25,0.9625,1.2272e-30,1382.0
A0A0A6YVN5:A0A0A6YVN5,1,29.25,0.2925,5.1302499999999996e-17,709.0
A0A0A7HFE1:A0A0A7HGA1,1,98.5,0.985,5.12e-37,2715.0
A0A0A7HFE1:A0A0A7HIF0,1,98.5,0.985,7.945e-32,2537.5
A0A0A7HFE1:A0A0A7HIX1,1,98.65,0.9864999999999999,8.065e-09,2168.0
A0A0A7HGA1:A0A0A7HIF0,1,100.0,1.0,7.945051200000001e-32,1423.5
A0A0B7MGD5:P61769,1,95.1,0.9510000000000001,2.514e-12,1254.0
A0A0C4DGV4:Q6IAA8,0,0.0,0.0,0.0,0.0
A0A0C4DGV4:Q9UHA4,1,98.85,0.9884999999999999,1.6785019805000002e-11,588.0
A0A0C5XKJ0:A0A0C5XL88,1,99.35,0.9935,8.15e-07,677.5
A0A0C5XL88:A0A0C5XL88,0,0.0,0.0,0.0,0.0
A0A0D6CBA8:A0A0D6CBA8,1,69.9,0.699,9.3235e-08,402.0
A0A0E3W010:A0A0E3W010,1,100.0,1.0,6.639e-18,905.5
A0A0E3W010:A0A0E4G455,1,99.7,0.997,1.5693e-17,904.0
A0A0E4G455:A0A0E4G455,1,69.15,0.6915,9.4305e-11,600.5
A0A0F6NGI2:A0A0M3KL10,1,98.55,0.9855,3.8585e-10,2379.5
A0A0F6NGI2:A0A0M3KL12,1,98.8,0.988,2.982e-20,2584.5
A0A0F6NGI2:E1C9K8,1,98.95,0.9895,2.164e-24,2712.5
A0A0F6NGI2:P05310,1,98.7,0.987,5.98000001323e-76,4514.5
A0A0F6NGI2:P10793,1,98.55,0.9855,3.2625e-12,2438.5
A0A0F6NGI2:P17227,0,0.0,0.0,0.0,0.0
A0A0F6RRN7:A0A0F6RRN7,0,0.0,0.0,0.0,0.0
A0A0F6RRN7:Q8GQ50,0,0.0,0.0,0.0,0.0
A0A0F7R1P3:A0A0F7R5U8,1,84.85,0.8485,1.0400000449400001e-28,1521.0
A0A0F7R5U8:Q99LC4,1,88.9,0.889,1.424504494e-30,1547.0
A0A0F7UXI8:A0A0F7UYM7,1,97.35,0.9735,1.5435e-09,835.0
A0A0F7UXI8:B6KQG9,1,97.35,0.9735,9.935e-18,1039.5
A0A0F7UYM7:B6KQG9,1,100.0,1.0,1.543500009935e-09,499.5
A0A0H3CIJ2:A0A0H3CIX8,1,100.0,1.0,2.197e-11,808.5
A0A0H3CIX8:A0A0H3CIX8,0,0.0,0.0,0.0,0.0
A0A0H3CQA2:A0A0H3CR83,1,100.0,1.0,2.44892e-40,1932.0
A0A0H3CQA2:A0A0H3CU18,1,96.25,0.9625,2.0645e-25,1713.0
A0A0H3G917:A0A0H3G917,1,96.69999999999999,0.967,5.9302999999999995e-21,799.5
A0A0H3JX61:P0A071,1,94.85,0.9484999999999999,1.3867499999999998e-35,1578.5
A0A0H3LZG7:Q6G2A9,1,69.30000000000001,0.693,2.4525000000000068e-05,593.5
A0A0J9X204:A0A0J9X207,1,100.0,1.0,1.1810046069999999e-24,1104.0
A0A0J9X206:A0A0J9X207,1,99.7,0.997,3.224000000031075e-24,1226.0
A0A0J9X206:A0A0J9X225,1,100.0,1.0,2.039e-23,1383.0
A0A0J9X207:A0A0J9X210,1,100.0,1.0,1.001501181e-18,890.5
A0A0J9X207:A0A0J9X228,1,84.4,0.8440000000000001,2.173e-14,989.0
A0A0J9X209:A0A0J9X212,1,100.0,1.0,8.125000000000003e-06,648.5
A0A0J9X209:A0A0J9X237,1,100.0,1.0,2.964e-10,847.5
A0A0J9X210:A0A0J9X232,1,100.0,1.0,9.305000014335001e-17,842.0
A0A0J9X210:A0A0J9X235,1,100.0,1.0,1.50450006985e-10,599.5
A0A0J9X214:A0A0J9X233,1,80.45,0.8045,6.37000000002017e-20,1027.5
A0A0J9X214:A0A0J9X234,1,94.25,0.9425,3.34800008645e-13,660.0
A0A0J9X215:A0A0J9X220,1,100.0,1.0,5.61001874e-17,755.5
A0A0J9X215:A0A0J9X237,1,100.0,1.0,2.772000000000261e-10,649.0
A0A0J9X218:A0A0J9X221,1,100.0,1.0,5.2301277500000003e-20,932.0
A0A0J9X218:Q875Q2,1,98.7,0.987,4.3096154999999996e-11,550.5
A0A0J9X226:Q875Q2,1,93.75,0.9375,3.508e-05,595.5
A0A0J9X231:A0A0J9X235,1,97.80000000000001,0.978,2.0805e-12,1691.5
A0A0J9X233:A0A0J9X234,1,99.25,0.9924999999999999,2.9275e-13,853.0
A0A0J9X248:A0A0J9X248,1,77.8,0.778,8.5155e-15,707.0
A0A0J9X248:A0A0J9X249,0,0.0,0.0,0.0,0.0
A0A0J9X250:A0A0J9X251,0,0.0,0.0,0.0,0.0
A0A0J9X251:A0A0J9X251,0,0.0,0.0,0.0,0.0
A0A0J9X252:A0A0J9X253,0,0.0,0.0,0.0,0.0
A0A0J9X253:A0A0J9X253,0,0.0,0.0,0.0,0.0
A0A0J9X291:D0G6S1,1,97.8,0.978,9.110043355e-16,844.5
A0A0K0GMR0:B2SQQ1,1,84.45,0.8445,6.715e-16,4334.5
A0A0K8P6T7:A0A0K8P6T7,1,52.099999999999994,0.521,2.55665e-30,1250.5
A0A0K9QLX6:P04160,1,100.0,1.0,1.9405e-30,2293.5
A0A0M0PWM4:A0A0M0PWM4,1,97.55,0.9755,1.630335e-44,1804.0
A0A0M3KKT1:A0A0M3KKT2,1,99.65,0.9964999999999999,2.40495e-68,2962.0
A0A0M3KKX5:A0A0M3KKX7,1,100.0,1.0,7.632e-17,843.0
A0A0M3KKX6:A0A0M3KKX7,1,100.0,1.0,1.171e-16,839.0
A0A0M3KKX6:A0A0M3KKX9,1,100.0,1.0,7.520000000000001e-17,1142.0
A0A0M3KKX6:A0A0M3KKY0,1,100.0,1.0,7.520000000000066e-17,1103.5
A0A0M3KKX7:A0A0M3KKX8,1,100.0,1.0,1.376e-16,823.0
A0A0M3KKX9:A0A0M3KKX9,1,68.0,0.6799999999999999,3.1430000000000006e-17,1112.0
A0A0M3KKX9:A0A0M3KKY0,1,100.0,1.0,6.7036999999999995e-31,1401.5
A0A0M3KKX9:A0A0M3KKY1,1,100.0,1.0,1.0573e-32,1466.5
A0A0M3KL10:E1C9L1,1,96.5,0.9650000000000001,3.8585008560000004e-10,593.0
A0A0M3KL13:P05311,1,99.5,0.995,2.5415e-09,2432.5
A0A0M3KL53:A0A287ANU4,1,100.0,1.0,6.744079e-13,570.5
A0A0M3KL54:A0A287AEW3,1,98.4,0.984,5.0350838e-14,626.0
A0A0M3KL54:I3LEJ9,1,93.75,0.9375,4.41350806e-14,673.5
A0A0M3KL55:F1S8A5,1,86.55000000000001,0.8654999999999999,2.581000007545e-16,768.0
A0A0M3KL56:A0A287AEW3,1,90.8,0.9079999999999999,6.988285e-15,651.0
A0A0M3KL56:F1SU49,1,89.0,0.89,5.517e-13,533.0
A0A0M3VGF9:A0A0M4TPJ7,1,92.55000000000001,0.9255,9.455e-28,2233.5
A0A0M3VGF9:A0A0M4U1P9,1,99.30000000000001,0.993,1.90955e-76,3229.0
A0A0M3VGF9:A0A0M5MQR7,1,97.9,0.979,2.0075e-18,2003.0
A0A0M4TPJ7:A0A0M5MQR7,1,91.55000000000001,0.9155,2.0075000009454998e-18,1004.5
A0A0N9FF17:A0A0N9FF17,1,86.4,0.864,7.413500000000001e-29,1283.0
A0A0Q1P5T2:A0A0Q1P5T2,1,92.9,0.929,5.593e-40,1718.5
A0A0Q1P5T2:Q6XBY4,1,91.45,0.9145000000000001,4.862500000000508e-28,1540.0
A0A0R4I959:A0A0R4I960,1,99.65,0.9964999999999999,7.432045e-18,945.0
A0A0R4I977:A0A0R4I977,1,100.0,1.0,1.1624e-16,868.0
A0A0R4I977:A0A0R4I978,1,100.0,1.0,4.1401e-17,911.0
A0A0S1LJ33:A0A0S1LJ33,1,97.15,0.9715,1.293175e-74,3187.0
A0A0U5IHY9:Q08AS3,1,93.45,0.9345,2.37802e-28,1299.5
A0A125V3V6:A0A125V4E7,1,100.0,1.0,5.4400071e-46,2207.5
A0A125V455:A0A125V4E7,1,100.0,1.0,7.4387e-52,2446.0
A0A125V4E7:A0A125V4E7,1,54.45,0.5445,1.02075e-36,1920.0
A0A125YJX3:A0A125YVX8,1,100.0,1.0,8.600000035575e-13,716.0
A0A125YJX3:B9PZF2,1,100.0,1.0,3.5575e-21,1223.0
A0A140S919:E2RXT0,1,100.0,1.0,1.0375000000000914e-13,789.5
A0A140S919:E2RXT8,1,100.0,1.0,2.5655e-15,1022.5
A0A159BDB5:A0A159BDB5,1,14.2,0.14200000000000002,1.0224499999999998e-06,413.0
A0A173M094:A0A173M0G2,1,97.2,0.972,1.52925e-55,2900.0
A0A182DWD1:A0A182DWD2,1,100.0,1.0,1.9064999999999998e-17,871.0
A0A185KID9:A0A185KID9,1,28.75,0.2875,3.58378e-25,1191.0
A0A185KID9:A0A185KIE0,1,93.55,0.9355,1.3455e-29,1935.5
A0A1B0VLW5:A0A1B0VPZ3,1,43.75,0.4375,5.9e-10,1226.0
A0A1B0VPZ3:A0A1B0VPZ3,1,41.1,0.411,2.8552500000000003e-44,1905.0
A0A1B4XKQ3:A0A1B4XKV1,1,100.0,1.0,2.8965000000000003e-19,830.0
A0A1B4XKR3:A0A1B4XPL8,1,79.35,0.7935,1.480000000000027e-15,1018.0
A0A1B4XKR5:A0A1B4XKR8,1,100.0,1.0,3.4155e-16,985.0
A0A1B4XKR5:A0A1B4XKT0,1,100.0,1.0,9.785003415500001e-10,483.0
A0A1B4XKR8:A0A1B4XKT0,1,100.0,1.0,9.785e-10,862.0
A0A1B4XKS1:A0A1B4XPL8,1,83.25,0.8325,2.4864907499999998e-11,606.0
A0A1B4XKT1:A0A1B4XM73,1,74.65,0.7464999999999999,2.7815001656e-06,394.0
A0A1B4XKT6:A0A1B4XMM2,1,74.5,0.745,1.5630000000110598e-06,463.0
A0A1B4XKX1:A0A1B4XMM2,1,100.0,1.0,1.7660000011515e-08,535.0
A0A1C7A3R1:A0A1C7A3R1,1,67.7,0.677,1.2413450000000001e-09,450.5
A0A1C7A3R1:A0A1C7A3R2,1,95.55,0.9555,1.1420002752e-13,752.5
A0A1E1FFL0:A0A1E1FFL0,1,96.05,0.9604999999999999,2.11342e-46,1832.5
A0A1L8F5J9:A7XY94,1,97.2,0.972,0.0,4705.5
A0A1L8G0X3:P06897,1,100.0,1.0,9.5100002117e-08,538.5
A0A1L8G0X3:P62799,1,100.0,1.0,5.1117385e-09,500.0
A0A1L8HGZ5:P23330,1,87.2,0.872,1.5675000000001427e-46,2540.0
A0A1L8HGZ5:Q642S3,1,80.85,0.8085,1.567500000015135e-46,2758.0
A0A1Q6B6Y5:J7Q602,0,0.0,0.0,0.0,0.0
A0A1S3U8J5:A0A1S3V8W7,1,100.0,1.0,6.02e-30,1682.0
A0A1S3U8J5:A0A1S3VGS8,1,100.0,1.0,3.3095e-29,1106.5
A0A1S3UVC7:A0A1S3UYW0,1,100.0,1.0,2.33550527e-13,560.0
A0A1S3UYW0:A0A1S3VVN6,1,100.0,1.0,2.0715000527e-11,615.5
A0A1S4NYF0:A0A1S4NYF0,1,96.35,0.9635,5.67e-50,2018.5
A0A1T3DDI2:A0A1T3DDI2,1,97.45,0.9744999999999999,6.3600000030785e-91,4061.0
A0A1U9ZFW1:G9I239,1,79.95,0.7995,2.7293e-23,972.0
A0A1Z0YU11:A0A1Z0YU12,1,97.15,0.9715,1.2103e-16,877.5
A0A1Z3HHI7:A0A1Z3HIN6,1,86.45,0.8645,1.7635e-16,2135.5
A0A1Z3HHI7:A0A1Z3HIQ7,1,80.75,0.8075,5.3256685e-16,799.0
A0A1Z3HHI7:A0A1Z3HPE3,1,100.0,1.0,6.662635e-14,588.0
A0A1Z3HHI7:A0A1Z3HRW4,1,100.0,1.0,1.7635e-16,2512.0
A0A1Z3HIL0:A0A1Z3HIN6,1,97.4,0.974,1.372942e-74,4310.5
A0A1Z3HIL0:A0A1Z3HIQ7,1,99.05,0.9904999999999999,2.587e-18,2627.5
A0A1Z3HIL0:A0A1Z3HPE3,1,99.05,0.9904999999999999,4.726e-14,2428.0
A0A1Z3HIL5:A0A1Z3HIQ7,0,0.0,0.0,0.0,0.0
A0A1Z3HIN6:A0A1Z3HIQ7,1,98.35,0.9835,2.587e-18,2604.0
A0A1Z3HRW4:A0A1Z3HRY4,1,100.0,1.0,7.5225e-79,4417.0
A0A218NZX1:A0A218P0B9,1,100.0,1.0,5.43e-18,1168.0
A0A286ZJ25:F1SU49,1,87.1,0.871,1.4480000000000202e-13,857.5
A0A286ZJ25:I3LS10,1,100.0,1.0,1.211e-28,1822.0
A0A286ZJR2:F1RSH0,1,93.0,0.93,2.394000001648e-11,640.0
A0A286ZK88:D0G6S1,1,97.44999999999999,0.9744999999999999,9.1103821e-16,833.5
A0A286ZNB3:F1SU49,0,0.0,0.0,0.0,0.0
A0A286ZP98:I3L9J0,1,100.0,1.0,2.03306225e-13,554.0
A0A286ZTW8:A0A287AWS0,1,78.25,0.7825,1.301e-11,829.5
A0A286ZTW8:A0A287BIV6,0,0.0,0.0,0.0,0.0
A0A286ZTW8:F1SGC7,1,100.0,1.0,6.8795e-06,319.0
A0A286ZTW8:I3LR45,1,100.0,1.0,8.69e-14,1012.0
A0A286ZU56:F1S8U4,1,35.6,0.356,5.729115000000001e-07,355.0
A0A286ZU56:F1SR64,1,100.0,1.0,6.985e-17,1322.5
A0A286ZXA6:A0A287BE26,0,0.0,0.0,0.0,0.0
A0A286ZXA6:F1RSH0,0,0.0,0.0,0.0,0.0
A0A286ZYL7:A0A287A9I8,1,92.0,0.9199999999999999,2.3120000000000005e-15,998.5
A0A286ZYM6:A0A287B4I0,1,93.25,0.9325,5.625000034725e-05,353.0
A0A286ZYM6:P80021,1,97.35,0.9735,1.0675000000003216e-11,696.5
A0A286ZYM6:Q2EN81,1,94.85,0.9484999999999999,5.410557e-23,971.0
A0A286ZYM6:Q35914,0,0.0,0.0,0.0,0.0
A0A286ZYM6:Q35915,1,100.0,1.0,8.83000000003174e-12,817.5
A0A286ZYM6:Q95339,1,93.94999999999999,0.9395,2.02250000000541e-11,608.5
A0A286ZZC6:A0A287AWS0,0,0.0,0.0,0.0,0.0
A0A286ZZC6:A0A480QIM3,0,0.0,0.0,0.0,0.0
A0A286ZZC6:F1SGC7,1,91.55,0.9155,8.567e-08,387.0
A0A287A119:F1SGC7,1,100.0,1.0,3.2085e-06,295.0
A0A287A9I8:A5GFX4,0,0.0,0.0,0.0,0.0
A0A287A9I8:K7GLT8,1,100.0,1.0,2.2085e-38,2379.0
A0A287A9I8:Q29307,0,0.0,0.0,0.0,0.0
A0A287AEW3:F1SU66,1,90.15,0.9015,8.285e-18,1249.5
A0A287ANU4:F1RUU2,1,94.4,0.944,5.18500001462e-12,644.5
A0A287ANU4:F1SU66,1,91.19999999999999,0.9119999999999999,5.185e-12,1199.5
A0A287ANU4:K7GKS8,1,94.15,0.9415,6.74e-13,1582.5
A0A287B3R8:A0A287BMP0,0,0.0,0.0,0.0,0.0
A0A287B4I0:P13618,1,94.55,0.9455,2.918000000002205e-07,485.5
A0A287B4I0:Q35914,0,0.0,0.0,0.0,0.0
A0A287B9C4:A0A287BE26,0,0.0,0.0,0.0,0.0
A0A287B9C4:F1RSH0,1,91.6,0.916,1.6480016919999998e-20,908.0
A0A287BE26:F1SVC5,0,0.0,0.0,0.0,0.0
A0A287BIV6:A0A480QIM3,0,0.0,0.0,0.0,0.0
A0A287BIV6:F1RRN2,1,58.95,0.5895,2.4765e-11,962.5
A0A287BIV6:F1SGC7,1,52.75,0.5275,2.1070000000000045e-10,733.5
A0A287BP93:F1RSH0,0,0.0,0.0,0.0,0.0
A0A287BP93:F1RWJ0,0,0.0,0.0,0.0,0.0
A0A287BQA1:F1SR64,1,77.80000000000001,0.778,1.517e-06,964.0
A0A2C9CI58:Q1PW30,1,100.0,1.0,8.64e-14,1732.5
A0A2P9IBF7:A0A2P9IBG7,1,95.35,0.9535,6.75e-43,2573.0
A0A2R8Y811:P61247,1,97.95,0.9795,8.39000000001083e-23,1147.5
A0A2R8Y811:P62854,1,99.05000000000001,0.9904999999999999,3.1460000839e-15,741.5
A0A2U2M035:A0A2U2M035,1,58.2,0.582,3.2295e-05,807.0
A0A2U2M035:A0A2U2M037,1,100.0,1.0,1.3465385799999998e-34,1527.5
A0A2U2M035:A0A2U2M038,1,98.45,0.9844999999999999,1.34650003314e-34,1577.5
A0A2U2M035:A0A2U2M049,1,100.0,1.0,7.28e-11,943.0
A0A2U2M035:A0A2U2M0F3,1,98.1,0.981,1.3465e-34,2748.0
A0A2U2M037:A0A2U2M0F3,1,98.1,0.981,3.858e-39,2912.5
A0A2U2M049:A0A2U2M0F3,1,98.3,0.983,1.007e-10,2235.0
A0A310TTQ1:A0A310TTQ1,1,100.0,1.0,1.2407999999999999e-13,531.5
A0A310TTQ1:Q6AZJ8,1,100.0,1.0,1.77125e-14,601.0
A0A334XBW3:A0A334XBW3,1,100.0,1.0,6.294e-26,1030.0
A0A334XBW3:V5V9F4,1,100.0,1.0,1.1321275e-25,1248.5
A0A381MU64:A4HSQ5,1,56.05,0.5605,7.65e-16,1069.0
A0A381MU64:A4IDD0,1,56.55,0.5655,1.691e-13,1148.0
A0A3Q8GLE8:A0A3Q8GLE8,1,41.6,0.416,2.083e-27,1148.0
A0A412SRH5:A0A412SRH5,1,98.85,0.9884999999999999,5.288e-66,2631.5
A0A480J9Z6:I3L9J0,1,100.0,1.0,1.6895000000000005e-10,722.5
A0A5B9:P01848,1,99.6,0.996,1.2420000025020001e-09,590.0
A0A9T9:A0A9T9,0,0.0,0.0,0.0,0.0
A0A9T9:A0A9U0,1,81.45,0.8145,1.853e-09,1118.0
A0L8G4:A0L8G5,1,100.0,1.0,6.095e-52,3115.5
A0L8G5:A0L8G5,1,29.450000000000003,0.2945,3.30750001044e-16,846.5
A0QQQ1:A0QQQ1,1,27.3,0.273,9.093e-08,391.0
A0QQQ1:I7GD61,0,0.0,0.0,0.0,0.0
A0QS66:P60281,1,99.25,0.9924999999999999,0.0,8029.5
A0QS86:A0QS86,1,29.65,0.2965,5.161e-17,788.5
A0QSD0:A0QSD7,1,100.0,1.0,4.544e-19,1076.5
A0QSD1:A0QV42,1,100.0,1.0,2.052e-17,1162.5
A0QSD2:A0QSG8,1,85.55,0.8554999999999999,4.1020000108249997e-19,932.5
A0QSD2:I7G436,1,85.55,0.8554999999999999,4.1020000108249997e-19,932.5
A0QSD3:A0QSD9,1,98.9,0.989,1.5025000034289999e-05,424.0
A0QSD5:A0QSL5,1,100.0,1.0,4.7371535e-14,620.0
A0QSD5:A0R215,1,93.8,0.938,4.53797365e-10,455.5
A0QSD7:A0QSG2,1,100.0,1.0,7.095e-09,893.0
A0QSD7:A0QSG6,1,100.0,1.0,1.29900007235e-29,1320.0
A0QSD7:A0R550,1,74.15,0.7415,0.00036565,822.0
A0QSF9:A0QV42,1,93.35,0.9335,8.28185e-15,717.5
A0QSG3:A0QSG6,1,100.0,1.0,4.248000001693e-21,1053.0
A0QSG8:A0QYU7,1,100.0,1.0,2.1350000000019507e-09,608.0
A0QSL5:A0R215,1,100.0,1.0,2.4495003973e-10,540.5
A0QSL8:P60281,1,100.0,1.0,6.15e-40,4689.0
A0QW02:A0QZ11,1,100.0,1.0,2.9245e-12,1170.0
A0QW02:P60281,1,100.0,1.0,2.475e-36,4785.5
A0QWT1:P60281,1,100.0,1.0,9.96e-12,4122.5
A0QYG2:A0R2B1,1,99.0,0.99,2.034e-15,3983.5
A0QYU7:I7G436,1,100.0,1.0,2.1350000000019507e-09,608.0
A0R052:I7FPH1,1,94.15,0.9415,1.027e-16,1976.0
A0R057:I7FPH1,1,100.0,1.0,2.4245000000002815e-30,1539.5
A0R0B3:A0R614,1,100.0,1.0,4.5685e-10,3415.5
A0R0M4:A0R1B5,1,93.6,0.9359999999999999,4.013e-19,2009.5
A0R0M4:A0R1B6,1,100.0,1.0,1.4105e-05,1814.5
A0R1B5:A0R1B6,0,0.0,0.0,0.0,0.0
A0R1X0:A0R1X0,1,99.45,0.9944999999999999,1.4459e-43,1820.5
A0R200:A0R201,1,98.3,0.983,1.713e-39,2435.5
A0R200:A0R202,1,99.65,0.9964999999999999,6.321555e-76,3216.0
A0R2B1:A0R2B1,1,98.0,0.98,0.0,5417.0
A0R562:I7FPH1,1,95.9,0.9590000000000001,1.8735000000000242e-16,1068.5
A0R613:A0R614,1,100.0,1.0,0.0,6327.5
A0R614:A0R614,1,90.15,0.9015,2.54e-84,5091.0
A0R6D9:A0R6D9,1,98.35,0.9835,2.331e-28,1850.0
A0R6D9:A0R6E0,1,99.35,0.9935,2.331e-28,2790.5
A0ZW40:A0ZW41,1,74.1,0.7410000000000001,4.548e-67,2776.0
A0ZW40:D8V7I1,1,99.85,0.9984999999999999,9.81e-13,1931.0
A0ZW41:D8V7I1,1,59.9,0.599,9.81e-13,947.5
A0ZW41:Q4LDE7,1,58.55,0.5855,8.48e-21,1879.5
A0ZXM3:P21611,1,63.800000000000004,0.638,4.512e-13,1165.5
A1BB97:A1BBA0,1,73.05,0.7304999999999999,7.265e-13,1131.5
A1BBA0:Q51658,1,98.65,0.9864999999999999,1.8865e-11,1352.5
A1L565:P01888,1,69.9,0.6990000000000001,5.84e-13,1059.5
A1SUU0:A1SUU0,1,90.35,0.9035,1.67629575e-61,2624.0
A1ZAW5:A1ZAW5,1,71.85,0.7184999999999999,1.18865e-18,822.5
A2D7Q5:A2DHU7,1,100.0,1.0,3.6719499999999996e-26,1040.0
A2D919:A2E4S6,1,95.94999999999999,0.9595,1.661755e-21,971.0
A2DD62:A2DJQ1,1,99.35,0.9935,1.2655e-07,1454.0
A2DD62:A2DP51,1,99.35,0.9935,1.9115e-21,1766.5
A2DEM7:A2E6Z8,1,98.15,0.9815,1.3535e-13,1070.0
A2DHU7:A2G4E1,1,100.0,1.0,4.4235e-26,953.5
A2DHU8:A2E1L5,1,89.65,0.8965000000000001,8.58502752e-21,971.0
A2DIM3:A2EBA2,1,98.9,0.989,4.316e-14,997.0
A2DIM3:A2FDE0,1,97.5,0.975,7.205e-18,1042.5
A2DJQ1:A2DP51,1,100.0,1.0,1.265500000000019e-07,637.5
A2DLW4:A2FBZ2,1,99.6,0.996,4.245000023165e-12,676.5
A2DM33:A2F2S5,0,0.0,0.0,0.0,0.0
A2DNC1:A2E6Z9,1,97.0,0.97,5.6450045405e-14,684.0
A2DNC1:A2FWA1,1,98.55,0.9855,5.895404999999999e-18,739.5
A2DQN8:A2E4S6,1,98.15,0.9815,4.788500000000018e-09,769.5
A2DSF3:A2FXW1,1,94.75,0.9475,3.8222e-14,644.0
A2DST7:Q76KS8,1,96.1,0.9610000000000001,4.569005505e-15,706.5
A2DYA8:A2EBA2,1,99.4,0.994,9.1654316e-10,425.0
A2DYA8:A2FDE0,1,98.0,0.98,9.16500007205e-10,470.5
A2DZ26:A2EP03,1,100.0,1.0,3.206001166e-26,1153.0
A2DZ49:A2EP03,1,100.0,1.0,1.8355000032060002e-17,883.5
A2E4D0:A2EP03,1,99.15,0.9915,3.206e-26,1614.0
A2E4S6:A2ER97,1,98.15,0.9815,9.350000000000182e-10,758.0
A2ECR7:A2ET60,1,93.35,0.9335,5.25000032405e-27,1184.5
A2ECR7:A2EXW7,1,99.75,0.9975,1.4255e-08,844.5
A2EP03:A2F2S5,1,100.0,1.0,5.5606e-25,1016.0
A2EP03:A2F592,1,100.0,1.0,3.206000004363e-26,1211.0
A2F2S5:A2F592,1,100.0,1.0,5.2400000004363e-25,1175.0
A2F592:A2FXW1,1,95.3,0.9530000000000001,1.112e-15,996.5
A2G9Z8:Q76KS8,1,95.05,0.9505,5.505000000000033e-21,1122.0
