"ppi","gene1","gene2","co.expression","BP","CC","MF","str_label","non_struct_label","is_preppi","Total"
"P50995:Q6NW34","ANXA11","NEPRO",0.445665116527408,0.103703703703704,0.75,0,-1,0,1,1.566867808
"P82673:P82914","MRPS35","MRPS15",0.426626578447351,1,0.503977272727273,0.55,0,-1,1,62.9491603061376
"P51114:P51116","FXR1","FXR2",0.625406766696393,0.337187118437118,0.415079365079365,0.969465648854962,-1,1,1,29838.4472882925
"P82673:Q16540","MRPS35","MRPL23",0.664925070171698,1,0.529242424242424,0.75,0,-1,1,20.338163440254
"P51116:Q9UI14","FXR2","RABAC1",0.37380321645912,0,0.512222222222222,0.994791666666667,-1,-1,0,0
"P82675:P82914","MRPS5","MRPS15",0.368664971280444,1,0.503977272727273,0.533333333333333,0,-1,1,62.9491603061376
"P51149:P51149","RAB7A","RAB7A",1,0.246615070753002,0.233208020050125,0.886692506459948,1,1,0,0
"P82914:P82930","MRPS15","MRPS34",0.218808214184018,1,0.626893939393939,1,0,-1,1,17.318165106
"P51157:Q5TYW2","RAB28","ANKRD20A1",0.43654334801944,0,1,0,-1,0,1,101.560540949226
"P82914:P82933","MRPS15","MRPS9",0.649435679384461,1,0.55275974025974,0.55,0,-1,1,28.3758056318424
"P51157:Q75LS8","RAB28","FKBP9P1",0.0854946939232115,0,0.2,0.166666666666667,-1,0,1,0.3080989991772
"Q4G0W2:Q4G0W2","DUSP28","DUSP28",1,0.547916666666667,0,0.382051282051282,1,1,0,0
"P51159:Q5T2L2","RAB27A","AKR1C8",0,0,0.5,0.875,-1,0,1,0.30119596619784
"Q5FBB7:Q86XP6","SGO1","GKN2",-0.0263859577273097,0.154761904761905,0.5,1,-1,0,1,10.907486208
"P51504:Q5BKX5","ZNF80","ACTMAP",0,0.0625,0.2,0.974264705882353,-1,0,1,0.199869
"Q5FWE3:Q5T2R2","PRRT3","PDSS1",-0.00700814773217001,0,0.181904761904762,0,-1,0,1,1.40296281
"P51504:Q70Z53","ZNF80","FRA10AC1",0.168527996680278,0.0526315789473684,1,0.934065934065934,-1,0,1,0.379632
"Q5GJ75:Q5GJ75","TNFAIP8L3","TNFAIP8L3",1,0.314556277056277,0.638888888888889,0.507142857142857,1,1,0,0
"P51668:Q6UWE0","UBE2D1","LRSAM1",0.128826870583586,0.255694383016364,0.75,0.862444444444444,-1,1,1,17180.1417675527
"Q5GJ75:Q5VTH2","TNFAIP8L3","CFAP126",0.0754178313191941,0.17037037037037,0.257440476190476,0,-1,0,1,1.1757
"P51668:Q86XT4","UBE2D1","TRIM50",-0.282236260217328,0.0666666666666667,0.833333333333333,0.955229955229955,-1,1,1,139.26104337527
"Q5H9L4:Q8N0X7","TAF7L","SPART",0.053339289906543,0.165108225108225,0.387037037037037,0.903508771929824,-1,0,1,0.840758336
"P62280:P62847","RPS11","RPS24",0.917113270467226,0.488392857142857,0.723376623376623,0.647619047619048,0,-1,1,65783.4155788261
"Q5JS54:Q5JS54","PSMG4","PSMG4",1,1,1,1,1,1,0,0
"P62280:P62851","RPS11","RPS25",0.970070786105566,0.783482142857143,0.681318681318681,0.678571428571429,0,1,1,2077.36798587537
"Q5JX71:Q969Y0","FAM209A","NXPE3",-0.0278942396390986,0,0.2,1,-1,-1,0,0
"P62280:P62857","RPS11","RPS28",0.890633066918901,0.522077922077922,0.706692406692407,0.653846153846154,0,1,1,5336.31426197814
"Q5RL73:Q96RU7","RBM48","TRIB3",0.0457455199795493,0.0851853973912797,0.538888888888889,0.911892097264438,-1,-1,0,0
"P62280:P62861","RPS11","FAU",0.958578110582658,0.485897435897436,0.769467787114846,0.54421768707483,0,-1,0,0
"Q5SV97:Q8IWL3","PERM1","HSCB",-0.289540376686524,0.108888888888889,0.3875,0,-1,0,1,1.342152
"P62280:P62891","RPS11","RPL39",0.889530438559278,0.53926282051282,0.732426303854875,0.833333333333333,0,-1,1,441.538528398
"Q5SZQ8:Q5VTL8","CELF3","PRPF38B",0.119071889907171,0.6,0.5,1,-1,0,1,0.28082376
"P62280:P62906","RPS11","RPL10A",0.970900558287563,0.82,0.642216117216117,0.7,0,-1,1,59556.9860617213
"Q5T0U0:Q96LD8","CCDC122","SENP8",0.356282963868451,0,0,0,-1,0,1,4.2428001
"P62280:P62913","RPS11","RPL11",0.942091473404497,0.330820641346957,0.608779761904762,0.82711038961039,0,-1,1,59556.9860617213
"Q5T1C6:Q86YJ5","THEM4","MARCHF9",0.73100292752354,0.0909090909090909,0.223809523809524,0.133928571428571,-1,0,1,0.686338389
"P62280:P62917","RPS11","RPL8",0.950313132669653,1,0.645748299319728,0.516666666666667,0,-1,1,59556.9860617213
"Q5T1J5:Q6P093","CHCHD2P9","AADACL2",-0.056534882505644,0,0.2,0.111111111111111,-1,0,0,0
"P62280:P83731","RPS11","RPL24",0.940868015581733,0.627777777777778,0.669664902998236,0.589285714285714,0,-1,1,3583.16964044145
"Q5T442:Q6TGC4","GJC2","PADI6",-0.0756458722594452,0.176893939393939,0.295555555555556,0.107828282828283,-1,0,1,3.570450048
"P62280:P83881","RPS11","RPL36A",0.938970084528225,1,0.716149068322981,0.666666666666667,0,-1,1,746.83288510216
"Q5T4W7:Q5T4W7","ARTN","ARTN",1,0.250347222222222,0.954545454545455,0.625,1,1,0,0
"P62304:P83369","SNRPE","LSM11",0.237862080508928,0.198412698412698,0.55,0.6875,0,1,1,187.248849314273
"Q5T700:Q96F15","LDLRAD1","GIMAP5",0.121057740643745,0,0.183333333333333,0.986538461538462,-1,-1,0,0
"P62304:P83876","SNRPE","TXNL4A",0.3915492506295,0.503174603174603,0.553373015873016,1,0,-1,1,464.811350327365
"Q5T752:Q6L8H2","LCE1D","KRTAP5-3",0.692438340645789,0,0.333333333333333,1,-1,-1,0,0
"P62304:Q2TAY7","SNRPE","SMU1",0.774881384367882,0.433333333333333,0.542857142857143,1,0,-1,1,197.67598862897
"Q5T871:Q9BYQ6","LELP1","KRTAP4-11",-0.0148956831118294,0,0,1,-1,-1,0,0
"P62306:P62306","SNRPF","SNRPF",1,0.734981684981685,0.488054187192118,0.977611940298508,1,1,0,0
"Q5TA79:Q9BYR7","LCE2A","KRTAP3-2",0.558947772950322,0,0,0.992337164750958,-1,-1,0,0
"P62306:P62308","SNRPF","SNRPG",0.945576708377182,0.687585034013605,0.459054834054834,0.903125,1,1,1,1372838.18448701
"O75554:O75554","WBP4","WBP4",1,0.75,0.473809523809524,0.732142857142857,0,0,0,0
"P62306:P62314","SNRPF","SNRPD1",0.953497607603681,0.62125850340136,0.413248847926267,0.857407407407407,1,1,1,35009617.0341001
"O75554:P62316","WBP4","SNRPD2",0.711591061583897,0.62125850340136,0.43640873015873,0.982142857142857,0,-1,1,694.343041742014
"P62306:P83369","SNRPF","LSM11",0.164641363585624,0.198412698412698,0.55,0.6875,1,1,1,883.606643041533
"O75554:P62314","WBP4","SNRPD1",0.529645151399397,0.62125850340136,0.413248847926267,0.857407407407407,0,-1,1,5686.76096161793
"P62306:P83876","SNRPF","TXNL4A",0.477189803472668,0.503174603174603,0.553373015873016,1,0,1,1,15879.2893085326
"O75554:P62318","WBP4","SNRPD3",0.762548492009478,0.623299319727891,0.482028701891716,0.885772357723577,0,-1,1,32412.6236036127
"P62306:Q2TAY7","SNRPF","SMU1",0.701010052814372,0.4375,0.542857142857143,1,0,-1,1,101.489737538695
"O75521:P34910","ECI2","EVI2B",-0.265292702401753,0.0638937086305507,1,1,-1,0,1,1.87853346
"P62308:P62318","SNRPG","SNRPD3",0.75760102320917,0.623299319727891,0.482028701891716,0.885772357723577,1,1,1,41526391.1924516
"O75558:O75558","STX11","STX11",1,0.320793650793651,0.386666666666667,0.993798449612403,-1,1,0,0
"P68871:P68871","HBB","HBB",1,0.430784030784031,0.544791666666667,0.790350877192982,1,1,0,0
"P82663:P82664","MRPS25","MRPS10",0.387584813750599,1,0.590909090909091,0,0,-1,1,22.64290198528
"O75554:P83876","WBP4","TXNL4A",0.310239134434505,0.503174603174603,0.553373015873016,1,1,1,1,265.658919523486
"P82663:P82673","MRPS25","MRPS35",0.332439695264659,1,0.62405303030303,0.416666666666667,0,-1,1,28.516685824
"O75530:O75530","EED","EED",1,0.560897435897436,0.70462962962963,0.948538011695906,1,1,0,0
"P82663:P82912","MRPS25","MRPS11",0.520634292630915,1,0.521969696969697,0.516666666666667,0,-1,1,29.69996304
"O75530:Q8N4S9","EED","MARVELD2",-0.0401443883121451,0.118139730639731,0.290625,1,-1,0,1,23.467284258
"P82663:P82921","MRPS25","MRPS21",0.667083833842164,1,0.730681818181818,0.722222222222222,0,-1,1,4.5663693174
"O75525:P15880","KHDRBS3","RPS2",-0.27445416391281,0.121428571428571,0.504761904761905,0.748076923076923,-1,0,1,15.2119148529348
"O75554:P62306","WBP4","SNRPF",0.5305691029785,0.734981684981685,0.488054187192118,0.977611940298508,0,-1,1,14.7893744353651
"O75554:P62308","WBP4","SNRPG",0.520158151473487,0.687585034013605,0.459054834054834,0.903125,0,-1,1,181.427243725
"O75554:Q2TAY7","WBP4","SMU1",0.857654947400744,0.4375,0.542857142857143,1,0,-1,1,36.0757279373537
"O75530:Q15910","EED","EZH2",0.765797647874374,0.20724441966702,0.64040404040404,0.766082871728033,1,1,1,34354427.3124072
"O75558:Q2MJR0","STX11","SPRED3",-0.229112145534503,0.0856177156177156,1,0.333333333333333,-1,0,1,5.561612672
"O75506:O75506","HSBP1","HSBP1",1,0.320643939393939,0.573333333333333,0.973958333333333,1,1,0,0
"O75496:O75496","GMNN","GMNN",1,0.3925,0.496153846153846,0.941666666666667,1,1,0,0
"O75525:P09234","KHDRBS3","SNRPC",0.33080954597435,0.537087912087912,0.448888888888889,0.928789403085178,-1,-1,0,0
"O75503:P61981","CLN5","YWHAG",-0.146329866004268,0.126532726532727,0.8475,0.980003202049312,-1,0,1,19.0775832459498
"O75554:P62304","WBP4","SNRPE",0.620167356730333,0.64981684981685,0.457198660714286,0.979166666666667,0,-1,1,438.427884259597
"Q68DK7:Q7Z5A8","MSL1","TAFA3",0.21988157095472,0.0921328671328671,0.5,0.5,-1,0,1,1.038754368
"Q5XKP0:Q96RI1","MICOS13","NR1H4",-0.267511485701011,0.0739355492823861,0.634848484848485,0.492694342694343,-1,0,1,0.449669979
"Q69YL0:Q6NXT1","NCBP2AS2","ANKRD54",0.274163224815084,0,0.32,0.833333333333333,-1,0,1,0.73482
"Q5VVY1:Q5VVY1","NTMT2","NTMT2",1,1,0.6,1,1,1,0,0
"Q6DKI7:Q70UQ0","PVRIG","IKBIP",-0.0549541247430148,0.0769230769230769,0.3125,1,-1,0,1,1.42012464
"Q6AZY7:Q9GZQ8","SCARA3","MAP1LC3B",0.224315297583946,0.16167328042328,0.252149470899471,0.967320261437909,-1,0,1,1.467344142
"Q6DD88:Q8IWV1","ATL3","LAX1",-0.0484327940719913,0.114830119375574,0.661538461538462,0.87037037037037,-1,0,1,2.3666841
"Q68CL5:Q8IUH5","TPGS2","ZDHHC17",0.349034744646125,0,0.236111111111111,0.915002560163851,-1,-1,0,0
"Q6DKK2:Q8IWF9","TTC19","CCDC83",-0.121742573352463,0,0,1,-1,0,1,1.009732878
"Q5U5X8:Q8N8D7","FAM222A","NKAIN3",0.156155882646233,0,0,0,-1,0,1,0.854172
"Q6DKI2:Q8IUH5","LGALS9C","ZDHHC17",-0.298690889319095,0.0952777777777778,0.390013227513228,0.915002560163851,-1,-1,0,0
"Q5VTE0:Q92499","EEF1A1P5","DDX1",0.520739173854614,0.110930485636368,0.427694235588972,0.14696661363328,-1,0,1,3.207971151
"Q5VTR2:Q6P1J9","RNF20","CDC73",0.806570565213911,0.196961947366359,0.759090909090909,0.980519480519481,-1,1,1,5570.10410031152
"Q5VYX0:Q5VYX0","RNLS","RNLS",1,0.372294372294372,0.875,0.523701298701299,1,1,0,0
"Q5VZV1:Q5VZV1","METTL21C","METTL21C",1,0.383929795694502,0.511111111111111,0.736507936507937,1,1,0,0
"Q5VUJ9:Q9UL41","EFCAB2","PNMA3",0.187551562337441,0,0.5,0.891156462585034,-1,0,1,14.365441044
"Q5VZ72:Q9NS18","IZUMO3","GLRX2",0.635584652819583,0.0952505827505827,0.215476190476191,0.188624338624339,-1,0,1,0.305682
"Q5TGY1:Q9UBQ0","TMCO4","VPS29",0.581258343405974,0,0.301785714285714,0.988059701492537,-1,-1,0,0
"Q6B0B8:Q96A56","TIGD3","TP53INP1",0.201299348170936,0,0.361538461538462,0.958333333333333,-1,0,1,3.1841634
"Q5VVQ6:Q5VVQ6","YOD1","YOD1",1,0.469493251846193,0.75,0.802976190476191,1,1,0,0
"Q9NX70:Q9Y2X0","MED29","MED16",0.218816782029224,0.512202380952381,0.546666666666667,0.766666666666667,1,1,1,41.4178884292234
"Q9UBZ9:Q9UI95","REV1","MAD2L2",0.345122654301909,0.10714868680514,0.589393939393939,0.976388888888889,1,1,1,298.501131255883
"Q9UBZ9:Q9UNA4","REV1","POLI",0.669958558849624,0.633333333333333,0.833333333333333,0.84047619047619,-1,1,1,1753.2743844822
"Q9NX14:Q9Y6M9","NDUFB11","NDUFB9",0.393824035265479,0.30530303030303,0.617857142857143,0.890625,1,1,1,984.40096392
"Q9HA38:Q9Y5J6","ZMAT3","TIMM10B",0.334190954280986,0.263888888888889,0.188888888888889,0.911111111111111,-1,0,1,3.012567228
"Q9H3R5:Q9H3R5","CENPH","CENPH",1,0.49047619047619,0.651666666666667,0.966666666666667,0,1,0,0
"Q9NX20:Q9P0M9","MRPL16","MRPL27",0.637562726136045,1,0.550324675324675,0.472222222222222,1,1,1,1936.437590208
"Q9NPD3:Q9Y3B2","EXOSC4","EXOSC1",0.178600025947137,0.566666666666667,0.470588235294118,0.96875,0,1,1,2530831.48200479
"Q9UBY9:Q9UJY1","HSPB7","HSPB8",0.497203033906151,0.692307692307692,0.53,0.962301587301587,-1,1,1,1933.05304681998
"Q9HB90:Q9UHA4","RRAGC","LAMTOR3",0.637708140649611,0.482997557997558,0.684074790457769,0.905714285714286,1,1,1,11214.4241176949
"Q9HB90:Q9Y2Q5","RRAGC","LAMTOR2",0.421077988329641,0.407826617826618,0.702926151862322,0.943562610229277,1,1,1,1649.70805318069
"Q9UBW8:Q9UNS2","COPS7A","COPS3",0.487529539219299,0.212453801680775,0.557142857142857,1,1,1,1,500808.770473077
"Q9H8S9:Q9HA77","MOB1A","CARS2",0.745904947339847,0.0714285714285714,0.466666666666667,0.331168831168831,-1,0,1,3.36768306
"Q9NTM9:Q9Y2P4","CUTC","SLC27A6",0.135153627561898,0.0771390374331551,0.291666666666667,0.126041666666667,-1,-1,0,0
"Q9NR50:Q9UI10","EIF2B3","EIF2B4",0.654200106242958,0.294195198740653,0.625,0.829523809523809,1,1,1,7770442.78662125
"Q9HB96:Q9NPI8","FANCE","FANCF",0.335016430976122,0.625,0.7875,1,0,1,1,18.659197524
"Q9H6T3:Q9NUG6","RPAP3","PDRG1",0.606046806619481,0.722222222222222,0.520833333333333,1,-1,1,1,11.497686016
"Q9H330:Q9NVU0","TMEM245","POLR3E",0.669551050941482,0,0.376923076923077,0,-1,0,1,6.6957024
"Q9HB90:Q9P278","RRAGC","FNIP2",0.582074708865683,0.223970870399442,0.630952380952381,0.927272727272727,1,1,1,124.33546125
"Q9NYB9:Q9P2A4","ABI2","ABI3",-0.150346035077887,0.17754884004884,0.362745098039216,0.982329317269076,-1,-1,0,0
"P28331:Q16795","NDUFS1","NDUFA9",0.742536416650941,0.25768987956488,0.557142857142857,0.68452380952381,1,1,1,330946.270490394
"P08865:Q14152","RPSA","EIF3A",0.659160771053554,0.22952380952381,0.549382716049383,0.753333333333333,1,1,1,300.150837247214
"P28331:P56556","NDUFS1","NDUFA6",0.772013350945994,0.30993265993266,0.641666666666666,1,1,1,1,207439.195090625
"P08908:P08908","HTR1A","HTR1A",1,0.329367700201034,0.773809523809524,0.510064935064935,0,1,0,0
"P28331:Q9UI09","NDUFS1","NDUFA12",0.83671318780389,0.260515873015873,0.40625,0.78125,1,1,1,26682.735016476
"P09001:Q9NRX2","MRPL3","MRPL17",0.892638057637596,1,0.585664335664336,0.425,1,1,1,83762.4417637215
"P28340:P39748","POLD1","FEN1",0.816639257116537,0.433439287984742,0.7,0.563780663780664,1,1,1,968097.609862877
"P09001:Q9NWU5","MRPL3","MRPL22",0.835198233377483,1,0.55275974025974,0.583333333333333,1,1,1,20574.2277817193
"P28340:P49005","POLD1","POLD2",0.577264734514039,0.606666666666667,0.8625,0.964285714285714,1,1,1,9438655.31857812
"P09001:Q9NYK5","MRPL3","MRPL39",0.787569240565224,1,0.477807486631016,0.625,1,1,1,17735.8694114107
"P28340:Q9HCU8","POLD1","POLD4",0.556953708701219,0.601190476190476,0.953947368421053,0.932692307692308,1,1,1,548.229387048693
"P09012:P0DJD3","SNRPA","RBMY1A1",0.0436602209550096,0.3375,0.52,0.96025641025641,-1,-1,0,0
"P29033:Q9NSG2","GJB2","FIRRM",0,0.173611111111111,0.441025641025641,0.904761904761905,-1,0,1,1.45575174
"P09038:P26022","FGF2","PTX3",0.539965211606988,0.132011322011322,0.525170068027211,0.920454545454545,-1,1,1,31.18313835
"P29353:Q99062","SHC1","CSF3R",-0.0690972608727981,0.282102272727273,0.577272727272727,0.652777777777778,-1,1,1,32.316455351615
"P09038:Q9BZZ5","FGF2","API5",0.484819025792832,0.280555555555556,0.381481481481482,0.725,1,1,1,1296.84409584576
"P29372:P29372","MPG","MPG",1,0.583333333333333,0.788235294117647,0.581060606060606,1,1,0,0
"P09132:P09132","SRP19","SRP19",1,0.541666666666667,0.525925925925926,0.657407407407407,1,1,0,0
"P29372:Q9BPX1","MPG","HSD17B14",0.172802396836129,0.125,1,0.954741379310345,-1,1,1,3.36768306
"P09429:P62244","HMGB1","RPS15A",0.676413107154464,0.177689594356261,0.433465608465608,0.691176470588235,-1,-1,0,0
"P29373:P29373","CRABP2","CRABP2",1,0.239239332096475,0.558974358974359,0.630519480519481,1,1,0,0
"P09601:Q96MV1","HMOX1","TLCD4",-0.164974634180006,0.25,0.6,1,-1,-1,0,0
"P29373:P30281","CRABP2","CCND3",-0.0678326033757587,0.237393162393162,0.706111111111111,0.946275946275946,-1,1,1,3.4421413220544
"P09693:Q01453","CD3G","PMP22",-0.0575820928669364,0.178422619047619,0.621031746031746,1,-1,-1,0,0
"P29373:Q2TAA8","CRABP2","TSNAXIP1",-0.0605621336997228,0.171428571428571,0.75,1,-1,0,1,0.449669979
"P09936:P0CG48","UCHL1","UBC",-0.248962619496945,0.3,0.836025641025641,0.982384823848238,1,1,1,23424.9448333628
"P29374:Q9HCU9","ARID4A","BRMS1",0.565857494365544,0.389352314352314,0.477777777777778,0.241987179487179,-1,1,1,0.26075709216
"P09936:P63279","UCHL1","UBE2I",-0.154902710035666,0.176333194096352,0.910328638497653,0.884589947089947,-1,1,1,12.7144515225
"P29375:P68431","KDM5A","H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12",0,0,0,0,1,1,1,66.480457808082
"P0C0S5:P0C0S5","H2AZ1","H2AZ1",1,0.454404761904762,0.545604395604396,0.737813620071685,1,1,0,0
"P29377:Q9H2A2","S100G","ALDH8A1",-0.0331608466235985,0,0.333333333333333,0.142857142857143,-1,0,1,0.6065760096
"P0C0S5:P62805","H2AZ1","H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16",0,0,0,0,1,1,1,5284881.67027023
"P29401:Q71UI9","TKT","H2AZ2",0.00696115331174291,0.126984126984127,0.302721088435374,0.333333333333333,-1,0,1,1.3528274449536
"P0C0S5:P68431","H2AZ1","H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12",0,0,0,0,1,1,1,103255491.251331
"O75558:Q86XW9","STX11","NME9",-0.22179818912526,0.0769230769230769,0.3,0.125,-1,0,1,0.880409728
"P0C0S5:P84243","H2AZ1","H3-3A; H3-3B",0,0,0,0,1,1,1,407059123.363577
"O75604:P62987","USP2","UBA52",-0.152015109240502,0.380952380952381,0.607653997378768,0.833333333333333,-1,-1,0,0
"P0C0S5:Q15906","H2AZ1","VPS72",0.530057404204249,0.273313492063492,0.380555555555556,0.870833333333333,1,1,1,7600.98322657321
"O75596:Q9NV12","CLEC3A","TMEM140",0.0556948019872444,0,0.5,0.5,-1,0,1,1.3919895
"P0C0S5:Q8IYW5","H2AZ1","RNF168",0.608382451846521,0.171855767689101,0.29147465437788,0.584848484848485,-1,1,1,372.404477572344
"O75608:O75608","LYPLA1","LYPLA1",1,0.338577097505669,0.565740740740741,0.533531746031746,1,1,0,0
"P28300:Q9UBX5","LOX","FBLN5",0.448741623912282,0.481921253349825,0.55484693877551,0.809195402298851,-1,1,1,4.6525700298
"O75631:P62081","UPK3A","RPS7",0.0227914116674228,0.129343637907652,0.285071428571429,0.6504329004329,-1,0,1,0.7486165950978
"P28331:P49821","NDUFS1","NDUFV1",0.659545846644662,0.604468325791855,0.486363636363636,0.835681216931217,1,1,1,13750293.6689607
"O75610:Q8IWZ6","LEFTY1","BBS7",-0.170226038137426,0.137351074851075,0.371929824561403,0.327777777777778,-1,0,1,0.970340481
"P28331:P56181","NDUFS1","NDUFV3",0.681479851779468,0.339291101055807,0.477941176470588,0.604166666666667,1,1,1,6.23269824
"O75603:Q9UBR4","GCM2","LHX3",-0.0165220692282978,0.213125684673265,0.483333333333333,0.906653267367553,-1,-1,0,0
"O75607:Q5GH76","NPM3","XKR4",-0.201710499300448,0.129464285714286,0.333333333333333,0.583333333333333,-1,0,1,2.8404912
"O75715:Q6NXT4","GPX5","SLC30A6",0.0217777930544475,0.0893939393939394,0.20625,0.127174908424908,-1,0,1,1.323972832
"O75787:Q15904","ATP6AP2","ATP6AP1",0.542290212149527,0.470065511411665,0.407986111111111,0.773333333333333,1,1,1,1.702159767
"O75683:Q6NXT4","SURF6","SLC30A6",0.7524710203638,0.0757783882783883,0.236607142857143,0.776388888888889,-1,0,1,0.975844023
"O75663:O75663","TIPRL","TIPRL",1,0.583333333333333,1,0.914285714285714,1,1,0,0
"O75570:P20061","MTRF1","TCN1",0.00400130359502192,0.0817307692307692,0.180555555555556,0.132142857142857,-1,0,1,5.467040271
"O75792:O75792","RNASEH2A","RNASEH2A",1,0.616666666666667,0.68,0.398979591836735,1,1,0,0
"O75636:O75636","FCN3","FCN3",1,0.447680097680098,0.623015873015873,0.866666666666667,1,1,0,0
"O75628:Q5SRI9","REM1","MANEA",0.34878484216743,0,0.229166666666667,0.103703703703704,-1,0,1,0.292679072
"O75593:Q15796","FOXH1","SMAD2",-0.0134351595414082,0.220724254112821,0.450813008130081,0.824831974831975,-1,1,1,2238.62170302607
"O75629:O75629","CREG1","CREG1",1,0.338730158730159,0.457482993197279,1,1,1,0,0
"O75628:O75628","REM1","REM1",1,0.538461538461538,0.611111111111111,0.367222222222222,1,1,0,0
"O75711:P62263","SCRG1","RPS14",-0.393545867000474,0.100790320790321,0.407482993197279,0.7375,-1,0,1,4.1857865880948
"Q6PKH6:Q92685","DHRS4L2","ALG3",0.680049615650684,0.102777777777778,0.24,0.0955840455840456,-1,0,1,1.1933
"Q6NXT6:Q86YD3","TAPT1","TMEM25",0.401063355210885,0.150793650793651,0.441964285714286,0.142857142857143,-1,0,1,2.52740004
"Q6PHW0:Q86WT6","IYD","TRIM69",-0.00603420090489749,0.102380952380952,0.42962962962963,0.963268321513002,-1,1,1,1.514677824
"Q6P1J9:Q8WVC0","CDC73","LEO1",0.475312943510851,0.300220092407592,0.738461538461539,0.96031746031746,0,1,1,68195.158472908
"Q6PCB6:Q9Y271","ABHD17C","CYSLTR1",-0.0942414611905098,0.12497187997188,1,0.126322751322751,-1,0,1,1.13859228
"Q6P1J9:Q92541","CDC73","RTF1",0.68363859846981,0.248866213151927,0.883333333333333,0.827777777777778,0,1,1,815.956209655234
"Q6PL45:Q96BA8","BRICD5","CREB3L1",-0.177093482625855,0.145604395604396,0.441666666666667,0.966862361382909,-1,-1,0,0
"Q6P2C0:Q8N8D7","WDR93","NKAIN3",-0.0468048539954786,0.0909090909090909,0.125,0,-1,0,1,3.9008
"Q6PIF2:Q9BXU0","SYCE2","TEX12",0.982820922481671,0.55,0.733333333333333,1,1,1,1,41.53786153902
"Q6P1J9:Q9GZS3","CDC73","SKIC8",0,0.247161471426177,0.672666666666667,1,0,1,1,1572.21889697368
"Q6P1S2:Q8N565","C3orf33","MREG",0.0249945410133289,0.0671218487394958,0.361458333333333,0.625,-1,0,1,3.8216288
"Q6L8H1:Q9BYQ4","KRTAP5-4","KRTAP9-2",0.13867784277751,0,0.583333333333333,1,-1,-1,0,0
"Q6N075:Q6UXG8","MFSD5","BTNL9",0.0538311966465875,0.0773809523809524,0.666666666666667,1,-1,-1,0,0
"Q6P2I7:Q6ZV60","EBLN2","LINC00173",0.260733138175275,0,0,0,-1,0,1,0.993
"Q6IEE8:Q9NNZ6","SLFN12L","PRM3",-0.0598738944713001,0,0.3,0,-1,0,1,0.8784732
"Q6PJ69:Q9BYX4","TRIM65","IFIH1",0.269115417151173,0.257565089026799,0.913888888888889,0.170406429728464,1,1,1,52.26503808
"Q6P587:Q6P587","FAHD1","FAHD1",1,0.625,0.690625,0.514285714285714,1,1,0,0
