ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,LIA_std,LIA_median,LIA_top5_avg,LIA_top10_avg,LIA_percentage,min_pae_inter,top5_pae_inter,interface_residues_a,interface_residues_b,mean_participation,pae_inter_25th,pae_inter_50th,pae_inter_75th,total_pae_below_cutoff,normalized_interchain,normalized_total,cLIS,cLIA,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_median,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P82663:P82933,0.2228647040835026,0.778,P82663,P82933,0.16,0.222,0.47,75.88,21.075,0.34,0.0,0,29.249,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,95760,0.0,0.2957737343287178,0.0,0,87.051,89.899,84.202,0.122,0.122,0.119,0.125,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P50591:Q13158,0.2620349949978865,0.785,P50591,Q13158,0.18,0.22,0.38,74.92,23.442,0.31,0.0,0,28.822,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,44408,0.0,0.1857135090602665,0.0,0,77.324,74.486,80.162,0.143,0.143,0.158,0.128,0.01,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82663:Q16540,0.0,0.0,P82663,Q16540,0.06,0.136,0.44,84.86,20.016,0.29,0.0,0,30.545,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,37149,0.0,0.3495521096014152,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P50607:P61960,0.3382213124057611,0.834,P50607,P61960,0.25,0.292,0.46,62.07,24.75,0.5,0.0,0,28.841,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,67430,0.0,0.193053730377547,0.0,0,64.909,71.224,58.594,0.145,0.145,0.15,0.14,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P82663:Q4U2R6,0.0402858736469266,0.636,P82663,Q4U2R6,0.07,0.152,0.48,81.17,19.599,0.32,0.0,0,29.66,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,33816,0.0,0.3732409134557014,0.0,0,75.474,61.898,89.05,0.127,0.127,0.115,0.139,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P50749:Q5SWA1,0.0625630867089273,0.636,P50749,Q5SWA1,0.13,0.158,0.27,49.89,29.728,0.54,0.0,0,31.178,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,44332,0.0,0.0410663618401124,0.0,0,72.066,84.461,59.671,0.159,0.159,0.176,0.142,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P82664:P82914,0.0190106953642696,0.559,P82664,P82914,0.09,0.152,0.4,72.46,23.77,0.39,0.0,0,30.357,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,48350,0.0,0.2304971301081215,0.0,0,57.8,76.37,39.23,0.097,0.097,0.099,0.095,0.009,-1,0,unclear (exclude for analysis),no physical interaction,False
P50897:Q8IWS0,0.4502174238211776,0.886,P50897,Q8IWS0,0.29,0.324,0.46,72.73,23.367,0.43,0.0,0,29.752,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,105463,0.0,0.2342367754158328,0.0,0,67.794,80.482,55.106,0.173,0.173,0.194,0.153,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P82664:Q16540,0.0205045672938645,0.559,P82664,Q16540,0.08,0.146,0.41,77.32,22.332,0.37,0.0,0,30.148,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,32929,0.0,0.2627677231957611,0.0,0,93.65,94.62,92.68,0.128,0.128,0.133,0.123,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P50995:Q6NW34,0.2075433219594461,0.759,P50995,Q6NW34,0.25,0.282,0.41,60.81,25.342,0.49,0.0,0,28.329,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,150783,0.0,0.1312087533415014,0.0,0,65.916,56.846,74.986,0.184,0.184,0.179,0.188,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P82673:P82914,0.0189651875697536,0.559,P82673,P82914,0.33,0.374,0.55,75.22,19.263,0.56,0.047,1472,23.394,11.431,0.033,0.042,0.153,0.148,0.887,0.167,"[0.167, 0.158, 0.15, 0.15, 0.142]",30.030959752321984,24.12451361867704,27.07773668549952,0.0166666666666666,0.0416666666666666,0.0666666666666667,93961,0.0088662948283962,0.2793133174791914,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51114:P51116,0.3799021319391223,0.855,P51114,P51116,0.31,0.316,0.34,60.11,27.907,0.52,0.119,6775,29.857,10.577,0.093,0.108,0.508,0.487,0.811,0.542,"[0.542, 0.508, 0.5, 0.5, 0.492]",15.136876006441224,11.589895988112929,13.363385997277074,0.0499999999999999,0.1083333333333333,0.1833333333333332,137837,0.0081053661711326,0.0823184642470658,0.266,112,64.217,66.813,61.621,0.258,0.258,0.241,0.276,0.013,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P82673:Q16540,0.0242830491092546,0.559,P82673,Q16540,0.16,0.234,0.53,79.88,19.822,0.4,0.0,0,28.122,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,75346,0.0,0.332541840265518,0.0,0,90.415,89.6,91.23,0.133,0.133,0.13,0.137,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P51116:Q9UI14,0.030293440492147,0.636,P51116,Q9UI14,0.11,0.15,0.31,63.44,27.43,0.35,0.0,0,31.21,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,81960,0.0,0.1113338875576637,0.0,0,63.344,91.332,35.356,0.13,0.13,0.132,0.128,0.009,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P82675:P82914,0.0,0.0,P82675,P82914,0.09,0.17,0.49,73.44,23.156,0.39,0.0,0,31.074,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,129317,0.0,0.2739946903292377,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51149:P51149,0.0704848704173438,0.667,P51149,P51149,0.13,0.19,0.43,67.42,19.98,0.24,0.0,0,26.931,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,44017,0.0,0.2568146281126747,0.0,0,57.936,57.845,58.027,0.157,0.157,0.157,0.156,0.01,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P82914:P82930,0.0,0.0,P82914,P82930,0.08,0.146,0.41,77.17,22.004,0.32,0.0,0,30.491,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,68387,0.0,0.3031002770083102,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51157:Q5TYW2,0.055765614313728,0.636,P51157,Q5TYW2,0.19,0.218,0.33,62.4,27.322,0.34,0.0,0,30.484,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,110238,0.0,0.1011417184128242,0.0,0,52.825,46.537,59.113,0.126,0.126,0.134,0.119,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P82914:P82933,0.0,0.0,P82914,P82933,0.1,0.168,0.44,72.53,23.191,0.34,0.0,0,30.741,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,112884,0.0,0.2647317481572856,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P51157:Q75LS8,0.0552686102212547,0.636,P51157,Q75LS8,0.2,0.25,0.45,57.54,21.486,0.32,0.0,0,26.609,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,28584,0.0,0.2169250734239464,0.0,0,53.017,48.73,57.305,0.229,0.229,0.247,0.212,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q4G0W2:Q4G0W2,0.5115347866931501,0.9,Q4G0W2,Q4G0W2,0.62,0.642,0.73,84.17,10.841,0.72,0.319,40337,13.621,8.168,0.114,0.333,0.667,0.659,65.11,0.667,"[0.667, 0.667, 0.667, 0.667, 0.667]",83.52272727272727,82.95454545454545,83.23863636363636,0.25,0.3333333333333333,0.3999999999999999,87052,0.6511008522727273,0.7025761880165289,0.522,150,89.818,89.83,89.805,0.765,0.765,0.764,0.766,0.309,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P51159:Q5T2L2,0.0373950523382122,0.636,P51159,Q5T2L2,0.15,0.22,0.5,54.25,21.014,0.28,0.0,0,26.99,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,29504,0.0,0.2408489795918367,0.0,0,46.349,60.983,31.715,0.174,0.174,0.162,0.186,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5FBB7:Q86XP6,0.0500006382324056,0.636,Q5FBB7,Q86XP6,0.2,0.218,0.29,51.28,28.949,0.57,0.0,0,30.933,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,36891,0.0,0.0664672762488176,0.0,0,62.425,46.589,78.261,0.16,0.16,0.153,0.167,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P51504:Q5BKX5,0.114515634265292,0.686,P51504,Q5BKX5,0.17,0.228,0.46,62.09,24.5,0.37,0.0,0,29.941,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,73614,0.0,0.1890563362919132,0.0,0,62.894,63.112,62.677,0.138,0.138,0.135,0.141,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5FWE3:Q5T2R2,0.0505843450775619,0.636,Q5FWE3,Q5T2R2,0.22,0.242,0.33,51.63,28.825,0.53,0.0,0,31.239,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,159970,0.0,0.0820857382123299,0.0,0,48.412,37.291,59.533,0.13,0.13,0.126,0.134,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P51504:Q70Z53,0.2040724582152217,0.759,P51504,Q70Z53,0.26,0.278,0.35,51.47,26.118,0.48,0.153,1105,28.221,10.159,0.106,0.142,0.45,0.443,0.642,0.467,"[0.467, 0.45, 0.45, 0.442, 0.442]",6.593406593406594,33.01587301587301,19.8046398046398,0.0666666666666667,0.1416666666666666,0.2333333333333334,30678,0.0064247921390778,0.0887303901152297,0.238,100,62.328,58.603,66.054,0.366,0.366,0.35,0.381,0.018,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5GJ75:Q5GJ75,0.52915288953868,0.91,Q5GJ75,Q5GJ75,0.53,0.516,0.46,65.95,21.253,0.72,0.391,16434,23.677,7.308,0.203,0.425,0.777,0.769,9.637,0.792,"[0.792, 0.783, 0.775, 0.767, 0.767]",63.6986301369863,63.6986301369863,63.6986301369863,0.2333333333333334,0.425,0.5666666666666667,74095,0.0963712704072058,0.2172517123287671,0.519,262,77.894,77.676,78.112,0.682,0.682,0.682,0.681,0.118,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P51668:Q6UWE0,0.340482692233902,0.834,P51668,Q6UWE0,0.66,0.604,0.38,69.82,24.32,0.69,0.114,3073,26.012,10.635,0.095,0.092,0.53,0.508,1.446,0.542,"[0.542, 0.533, 0.525, 0.525, 0.525]",56.4625850340136,6.085753803596127,31.274169418804863,0.0416666666666666,0.0916666666666666,0.1583333333333333,108528,0.0144569584403609,0.1433848592944906,0.333,55,81.38,85.987,76.772,0.347,0.347,0.367,0.327,0.024,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q5GJ75:Q5VTH2,0.0,0.0,Q5GJ75,Q5VTH2,0.06,0.12,0.36,58.12,26.137,0.37,0.0,0,31.513,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,32052,0.0,0.1457167406949413,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P51668:Q86XT4,0.4109006404900808,0.871,P51668,Q86XT4,0.65,0.612,0.46,76.54,20.563,0.68,0.136,7506,24.197,10.368,0.099,0.117,0.557,0.538,5.242,0.575,"[0.575, 0.558, 0.558, 0.558, 0.533]",81.63265306122449,12.114989733059549,46.87382139714202,0.0499999999999999,0.1166666666666667,0.1916666666666667,91864,0.0524242551229937,0.2285424275293813,0.397,60,83.918,85.286,82.55,0.349,0.349,0.354,0.344,0.026,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q5H9L4:Q8N0X7,0.1161349182072672,0.686,Q5H9L4,Q8N0X7,0.16,0.182,0.27,53.47,29.081,0.37,0.0,0,31.134,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,59007,0.0,0.0463751508978421,0.0,0,75.564,70.339,80.789,0.149,0.149,0.14,0.158,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62847,0.0204938463907615,0.559,P62280,P62847,0.23,0.296,0.56,87.01,14.925,0.42,0.0,0,23.366,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,36466,0.0,0.4306278858303515,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5JS54:Q5JS54,0.6480926616615628,0.963,Q5JS54,Q5JS54,0.73,0.726,0.71,79.46,9.354,0.78,0.481,21811,10.211,6.228,0.206,0.475,0.897,0.894,72.083,0.9,"[0.9, 0.9, 0.9, 0.892, 0.892]",91.05691056910568,91.05691056910568,91.05691056910568,0.3416666666666666,0.475,0.6583333333333333,45565,0.7208341595611079,0.7529413708771234,0.793,272,89.469,89.476,89.461,0.954,0.954,0.954,0.954,0.675,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P62280:P62851,0.0,0.0,P62280,P62851,0.04,0.13,0.49,78.66,21.411,0.32,0.0,0,31.584,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,26944,0.0,0.3364257263794029,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q5JX71:Q969Y0,0.018856428630868,0.559,Q5JX71,Q969Y0,0.24,0.326,0.67,75.15,18.036,0.49,0.023,50,30.474,11.72,0.028,0.042,0.1,0.09,0.026,0.108,"[0.108, 0.108, 0.1, 0.092, 0.092]",0.0,1.9677996422182469,0.9838998211091234,0.025,0.0416666666666666,0.0645833333333333,235685,0.0002615363692475,0.442268718333646,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62280:P62857,0.0188886694149472,0.559,P62280,P62857,0.25,0.328,0.64,86.42,12.795,0.42,0.067,733,21.231,11.2,0.061,0.067,0.327,0.3,3.362,0.358,"[0.358, 0.35, 0.317, 0.317, 0.292]",43.67088607594937,8.695652173913043,26.183269124931208,0.0333333333333333,0.0666666666666667,0.1166666666666667,26026,0.0336176848284718,0.5050748122416503,0.108,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q5RL73:Q96RU7,0.2314883770254281,0.778,Q5RL73,Q96RU7,0.31,0.338,0.45,57.15,25.007,0.59,0.032,108,27.897,11.619,0.024,0.025,0.108,0.092,0.041,0.125,"[0.125, 0.117, 0.108, 0.1, 0.092]",6.267029972752043,8.379888268156424,7.323459120454234,0.0166666666666666,0.025,0.0416666666666666,77998,0.0004110026943509,0.1483909631391201,0.025,16,76.339,67.062,85.615,0.314,0.314,0.281,0.346,0.019,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62280:P62861,0.0,0.0,P62280,P62861,0.06,0.144,0.48,84.24,21.344,0.33,0.0,0,30.855,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,28704,0.0,0.3389662379990789,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5SV97:Q8IWL3,0.1063670753782004,0.686,Q5SV97,Q8IWL3,0.13,0.16,0.28,49.35,29.749,0.51,0.0,0,31.152,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,46949,0.0,0.044686734086853,0.0,0,57.805,41.019,74.592,0.099,0.099,0.101,0.098,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62891,0.0,0.0,P62280,P62891,0.04,0.16,0.64,89.25,15.172,0.34,0.0,0,30.207,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,23652,0.0,0.5414711201666629,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5SZQ8:Q5VTL8,0.172321245067911,0.73,Q5SZQ8,Q5VTL8,0.13,0.16,0.28,56.7,28.941,0.43,0.0,0,31.045,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,63617,0.0,0.0622401848704801,0.0,0,87.069,84.12,90.018,0.12,0.12,0.124,0.117,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62906,0.0,0.0,P62280,P62906,0.05,0.12,0.4,75.18,20.837,0.17,0.0,0,31.61,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,44122,0.0,0.3137564444444444,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T0U0:Q96LD8,0.0839998887185317,0.667,Q5T0U0,Q96LD8,0.12,0.19,0.47,71.71,22.822,0.25,0.056,168,29.886,11.328,0.083,0.092,0.358,0.317,0.145,0.408,"[0.408, 0.367, 0.35, 0.35, 0.317]",0.0,33.490566037735846,16.745283018867923,0.0499999999999999,0.0916666666666666,0.1583333333333333,55857,0.0014513788098693,0.2374620044638112,0.0,0,61.36,65.681,57.039,0.129,0.129,0.132,0.126,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62913,0.0,0.0,P62280,P62913,0.16,0.236,0.54,87.86,16.274,0.32,0.0,0,26.395,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,49675,0.0,0.4400067318594104,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q5T1C6:Q86YJ5,0.186792118701294,0.74,Q5T1C6,Q86YJ5,0.21,0.246,0.39,64.68,24.582,0.44,0.0,0,29.761,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,62530,0.0,0.1820929772041608,0.0,0,71.442,98.002,44.883,0.205,0.205,0.23,0.18,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P62280:P62917,0.0219490640443395,0.559,P62280,P62917,0.12,0.212,0.58,88.66,16.403,0.28,0.0,0,28.583,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,83176,0.0,0.4829496298446799,0.0,0,84.377,74.1,94.653,0.113,0.113,0.113,0.113,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
