,ppi,co-expression,BP,CC,MF,SM,PrP,"max(SM,PrP)",PR,OR,PP,GO,EP,Total,label
98,P57773:Q71UI9,-0.0081602670971794,0.1333333333333333,0.1349206349206349,0.1169642857142857,0.54,0.0,0.54,1.2535,0.0,1.1933,0.0,0.8888,0.7179129455256,0
99,P48061:Q13291,-0.1000105749592063,0.1895073815073815,0.3759920634920635,0.8386363636363636,1.52,0.0,1.52,0.9127,0.0,0.0,0.0,2.1077,2.9240206408,0
100,P14867:P47870,0.9869441586234592,0.325595238095238,0.4271164021164021,0.4831168831168831,869.75,3.51,869.75,0.0,13.3811,2.416,105.17,18.4426,54537748.4636257,1
101,P13639:Q99653,-0.0456807933436218,0.1012692952209081,0.5211484593837534,0.6368253968253968,0.29,0.0,0.29,0.0,0.0,2.013,0.0,9.4687,5.527542999,0
103,O60220:P60891,0.5796797987282347,0.251677615313979,0.1916666666666666,0.9563864087301588,0.0,0.0,0.0,0.0,0.0,2.013,0.0,18.4426,37.1249538,0
104,P62993:Q969Q6,0.5576477747125393,0.174582362082362,0.5083333333333333,0.9272727272727272,0.0,20.6262,20.6262,0.0,0.0,2.013,0.0,5.6875,236.1480746625,0
105,P13747:Q14457,0.3453634425666058,0.1439505347593582,0.3443036354326677,0.9707207207207208,0.41,3.51,3.51,0.0,0.0,0.9594,0.0,1.5818,5.3267020092,0
106,P28331:P49821,0.6595458466446616,0.6044683257918552,0.4863636363636363,0.8356812169312169,869.75,0.0,869.75,0.0,3.1392,1.5978,69.61,45.2798,13750293.6689607,1
107,P13747:P35557,-0.1972960635904438,0.1156143216804981,0.48,0.3281400966183574,0.41,56.9,56.9,0.0,0.0,0.9878,0.0,0.8888,49.955732816,0
108,P11940:Q9Y376,0.5885163589773506,0.1073502886002886,0.3827777777777778,0.8754578754578756,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,9.4687,15.12908886,0
109,P42566:Q9H270,0.6263446533776347,0.2237911211595422,0.2400793650793651,0.931687242798354,2.08,3.67486,3.67486,0.0,0.0,2.013,2.07,2.7714,42.4379240800376,0
110,P21796:Q5UCC4,-0.0112331351803059,0.109700176366843,0.4222222222222223,0.2,0.54,0.0,0.54,0.0,0.0,2.013,0.0,3.9008,4.240247616,0
112,Q96NU0:Q9H0W8,0.1390710243499357,0.1277313955885384,0.5,0.0,0.15,5.43,5.43,0.0,0.0,2.416,0.0,0.4364,5.725079232,0
113,A6NIY4:P78552,0.1543188964391802,0.0,0.0,0.2896825396825396,0.0,2.59,2.59,0.0,0.0,2.416,0.0,0.8888,5.561612672,0
114,P06899:Q4FZB7,0.0776606281110762,0.5569444444444445,0.7416666666666667,0.2607239057239057,0.83,0.0,0.83,0.5125,0.0,2.416,0.0,0.6915,0.710658699,0
115,P0C0S5:Q9NSB8,-0.2943670775893439,0.1025635822510822,0.2877777777777778,0.7470238095238095,1.52,2.59,2.59,0.5125,0.0,1.5978,0.0,1.1757,2.4935183514675,0
117,P35452:Q96BF3,-0.0857437330549757,0.1063186813186813,0.2916666666666666,0.6,0.94,0.0,0.94,0.0,0.0,1.1933,0.0,3.9008,4.3755351616,0
118,P51970:Q6IQ26,0.1327854947751106,0.1174603174603174,0.1721428571428571,0.3523809523809523,0.54,0.0,0.54,0.0,0.0,2.416,0.0,1.5818,2.063679552,0
119,Q8NGF1:Q9BYQ8,-0.0205162781516132,0.125,0.2291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.1933,0.0,2.7714,3.30711162,0
122,O15198:P60002,0.1241803284402978,0.1,0.3333333333333333,0.6125,0.0,0.0,0.0,0.0,0.0,1.1933,0.0,1.5818,1.88756194,0
125,Q8IWT0:Q9HBJ7,0.1268353561645477,0.0786670437405731,0.4666666666666666,0.3482142857142857,0.56,0.0,0.56,0.0,0.0,1.5978,0.0,0.5954,0.5327448672,0
126,P41567:Q53EL6,-0.0028687184524304,0.1067473498723498,0.6000000000000001,0.9605263157894736,0.41,0.0,0.41,0.9127,0.0,2.416,0.0,3.9008,3.5266513040896,0
127,O43699:P34910,0.2612836354286764,0.149037999037999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.416,0.0,1.5818,3.8216288,0
128,O75386:Q8NEZ3,0.846724540471083,0.1581320726057568,0.5736111111111111,1.0,1.22,3.51,3.51,0.0,0.0,2.013,0.0,9.4687,66.902330781,1
130,Q17RC7:Q96J94,-0.0418952606249973,0.1063034188034188,0.1375,0.5005291005291006,0.0,0.0,0.0,0.0,0.0,2.416,0.0,1.5818,3.8216288,0
131,P49841:Q6ZMY9,0.5179370270997464,0.25,1.0,0.175,2.27,7.37,7.37,0.0,5.052,1.1933,0.0,1.5818,70.2800467268856,0
132,P62857:P84098,0.9186889134469356,1.0,0.6576719576719576,0.5384615384615384,0.19,0.0,0.19,2.409,0.6153,0.993,24.11,45.2798,305.301033752043,1
136,P63279:Q9BUZ4,0.0216512383453438,0.1698877919466154,0.4690476190476191,0.9633968253968256,10.86,5.00777,10.86,1.7951,0.0,1.5978,0.31,3.9008,37.6665867013268,1
137,Q8N5C7:Q9NVU0,0.5665966622207635,0.0625,0.1621301775147929,0.0,0.0,0.0,0.0,0.0,0.0,2.416,0.0,2.7714,6.6957024,0
140,Q00169:Q9H9F9,0.6040685797737919,0.1172669922669922,0.3777777777777777,1.0,0.17,0.0,0.17,0.5125,0.0,2.416,0.0,2.1077,0.4436582038,0
141,P02753:Q701N4,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.1933,0.0,2.1077,2.51511841,0
142,Q15942:Q9P2G1,0.2640488996996817,0.0954545454545454,0.5833333333333334,0.3968253968253968,8.53,0.0,8.53,0.0,0.0,2.416,0.0,1.1757,24.229389936,0
143,P62891:Q8NBP7,-0.122826938107281,0.1406926406926406,0.3821789321789321,0.2212815990593768,0.0,0.0,0.0,0.0,0.0,0.9878,0.0,1.1757,1.16135646,1
144,P10809:Q8NHQ1,-0.0592080731946373,0.1384615384615384,0.9513888888888888,0.997979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9008,3.9008,1
145,O43504:Q9NSA0,0.3546923982853101,0.1583333333333333,0.2777777777777778,0.3353571428571428,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.8888,1.7891544,0
148,O75396:Q9UNY5,0.2990704953900369,0.125,0.4666666666666666,0.926797385620915,1.52,0.0,1.52,0.5125,0.6153,1.1933,0.0,1.5818,0.904743735250278,0
149,P24928:Q15542,0.8042291311288929,0.2662820151984238,0.6851063829787236,0.8125,2.85,2.90474,2.90474,0.0,13.3811,2.013,69.61,5.6875,30976.7535020614,0
150,O15372:Q9Y262,0.9324128324243584,0.7208333333333333,0.5833333333333333,0.8333333333333334,0.19,0.0,0.19,1.0145,9.2808,2.013,24.11,38.174,3314.36031737839,1
152,P07306:Q8IWW8,0.2239683889524163,0.1111111111111111,0.2,0.3282828282828283,0.0,0.0,0.0,0.0,0.0,0.993,0.0,2.7714,2.7520002,0
153,P60153:Q6Y2X3,0.4804219373672296,0.0769230769230769,0.375,0.2777777777777777,0.15,0.0,0.15,0.0,0.0,2.013,0.0,0.8888,0.26837316,0
154,Q8IYJ0:Q9P0M4,0.0233052379915683,0.4259259259259259,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.416,0.0,9.4687,22.8763792,0
156,Q8IVB4:Q9BUE0,0.1587285622979967,0.080532212885154,0.1802721088435374,0.9555555555555556,0.0,0.0,0.0,0.0,0.0,2.013,0.0,1.5818,3.1841634,0
157,Q9BRI3:Q9Y586,-0.0641745248600929,0.1214285714285714,0.625,1.0,0.0,0.0,0.0,0.0,0.0,2.013,0.0,1.5818,3.1841634,0
158,Q92624:Q9BYU1,0.2134248482726214,0.1236772486772486,0.4555555555555555,0.98,0.94,0.0,0.94,0.0,0.0,2.013,0.0,2.1077,3.988232094,0
159,P25791:Q5GJ75,0.1858028398953444,0.0705774853801169,0.5555555555555556,0.5071428571428571,0.15,0.0,0.15,0.0,0.0,2.416,0.0,2.1077,0.76383048,0
160,P09001:Q6VEQ5,0.15716864100973,0.1072222222222222,0.1865646258503401,0.1488095238095238,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,0.0,1.5978,0
161,P13639:Q6NSI1,-0.0687070623747155,0.0,0.0,1.0,8.53,0.0,8.53,0.0,0.6153,0.993,0.0,0.4364,2.2744161823068,0
162,P53999:Q14005,0.3185747521433686,0.1096330437239527,0.3944444444444444,0.9838187702265372,0.45,3.84,3.84,0.9127,0.0,2.013,0.0,1.1757,8.2946786997888,0
163,Q96SF2:Q9NWA0,0.1502295834761199,0.0892857142857142,0.1611111111111111,0.9404761904761906,0.54,0.0,0.54,0.9127,0.0,1.5978,0.0,2.1077,1.65978953758548,0
164,P29353:Q99062,-0.069097260872798,0.2821022727272727,0.5772727272727273,0.6527777777777778,0.0,19.1399,19.1399,1.7951,0.6153,2.416,0.4,1.5818,32.316455351615,1
165,O60609:Q8WV16,0.1745856892364378,0.0909090909090909,0.3928571428571428,1.0,0.19,3.51,3.51,0.0,0.0,2.416,0.0,1.5818,13.413917088,0
166,P25786:P51788,0.0712003503516678,0.1560142238713667,0.3114718614718614,0.2294990723562152,0.41,0.0,0.41,0.0,0.0,1.5978,0.0,1.1757,0.7701987186,0
168,O95169:O96000,0.3144052367829738,0.3496969696969697,0.6803571428571428,0.1875,0.41,0.0,0.41,0.0,0.0,2.416,69.61,45.2798,3122.17268827168,1
169,Q02318:Q9H3P2,-0.1738683572419622,0.0603408029878618,0.2011904761904761,0.245,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.6688,1.3462944,0
171,P41235:Q15366,-0.2767389642371263,0.1583009371089866,0.6587962962962962,0.5965686274509804,0.22,0.0,0.22,0.0,0.0,2.416,0.0,2.1077,1.120284704,0
172,B7Z8K6:P04234,0.6533550701978066,0.2691094619666048,0.7244832041343667,0.0,0.15,2.59,2.59,0.9127,0.0,2.013,0.0,0.0,4.758516609,1
175,P09038:Q8WU67,-0.158957672592198,0.1085858585858585,0.3333333333333333,0.1116666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7962,0.7962,0
177,O60678:P15880,0.6452727594929814,0.2027777777777778,0.7024363233665558,0.7480769230769231,0.68,0.0,0.68,0.0,15.4815,2.013,0.4,9.4687,80.2631265083208,1
178,Q9H9Y6:Q9UKS7,0.6847710814871103,0.0833333333333333,0.25,0.7290123456790123,0.68,0.0,0.68,0.0,0.0,2.013,0.0,1.5818,2.165231112,0
179,P50151:Q8N511,0.4204247134518482,0.1074603174603174,0.2107142857142857,0.95,0.0,0.0,0.0,0.0,0.0,2.416,0.0,5.6875,13.741,0
180,O95147:P19801,-0.2505475739191905,0.1111111111111111,0.0,0.4409013605442176,0.19,0.0,0.19,0.0,0.0,2.416,0.0,0.8888,0.407994752,0
181,Q6UW01:Q86YF9,0.3480466448934575,0.1098446692196692,0.3605263157894736,0.0,0.22,0.0,0.22,0.0,0.0,2.416,0.0,1.5818,0.840758336,0
183,P98172:Q13488,0.204129546525202,0.1561494738324006,0.2698888888888888,0.65,0.15,0.0,0.15,0.0,0.0,0.0,5.86,1.5818,1.3904022,0
184,P02686:P43155,-0.1477308161826328,0.1172619047619047,0.3194444444444445,0.1146384479717813,0.0,0.0,0.0,0.5125,0.0,0.0,0.0,1.5818,0.8106725,0
186,P08908:Q96NU0,-0.1753568743246241,0.2,1.0,0.0,0.41,0.0,0.41,0.0,0.0,2.416,0.0,1.1757,1.164601392,0
187,P61366:Q6NZY4,-0.1519733127382964,0.1272222222222222,0.3575757575757575,0.8511363636363636,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.8888,1.7891544,0
188,Q99719:Q9P0V9,-0.3503066568974111,0.5833333333333334,0.3535714285714285,0.6961805555555556,282.86,3.86531,282.86,0.0,0.6153,2.416,5.86,1.5818,3897.66553887356,1
189,O76080:P17980,0.5785355980305542,0.0858363858363858,0.4583959899749374,0.9108024691358024,0.61,0.0,0.61,2.409,0.0,1.1933,0.0,3.9008,6.8402182602336,1
190,P06307:Q9NQ88,-0.0200475943296567,0.1456825396825397,0.4208333333333333,0.7,0.15,0.0,0.15,0.0,0.0,2.416,0.0,1.5818,0.57324432,0
191,Q9BPX1:Q9HBH7,0.3127571229988984,0.0907212885154061,0.3166666666666666,0.8696078431372549,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,1.5818,2.52740004,0
192,Q0VGL1:Q8WXS5,-0.161355894315513,0.1821332987999654,0.1505509641873278,0.1541666666666666,0.8,0.0,0.8,0.0,0.0,2.013,0.0,1.1757,1.89334728,0
193,P40933:Q9H0A9,-0.0262109716118531,0.1342592592592592,0.4166666666666666,0.9895833333333334,0.19,0.0,0.19,0.0,0.0,2.416,0.0,0.6688,0.307005952,0
194,O96004:P54317,-0.0528965785580682,0.1066242784992785,0.3785714285714285,0.1772875816993464,0.22,0.0,0.22,0.0,0.0,2.013,0.0,2.1077,0.933416022,0
195,Q8NHQ1:Q96LK8,0.7290957320749281,0.0833333333333333,0.5,0.8333333333333334,0.22,0.0,0.22,0.0,0.0,2.013,0.0,1.5818,0.700515948,0
197,Q9UNQ2:Q9Y2P8,0.498924900952928,0.3092948717948717,0.7277777777777779,0.2125,0.29,0.0,0.29,0.0,0.0,1.5978,10.8,18.4426,92.29248022896,1
198,Q8WVC0:Q9NX14,0.3244564651226179,0.0912037037037037,0.1868131868131868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5818,1.5818,0
199,P48552:Q8WXH4,0.0408640836772087,0.09507992007992,0.68125,0.25,0.83,0.0,0.83,0.0,0.0,2.416,0.0,1.1757,2.357607696,0
202,O75947:P08865,0.0565458837349576,0.0936147186147186,0.2074074074074073,0.782051282051282,0.54,0.0,0.54,4.2492,0.0,2.013,0.0,18.4426,85.1857309909584,0
203,P22681:Q6ZVT0,0.4180688172626322,0.1428571428571428,1.0,0.8874223602484471,0.15,3.51,3.51,0.0,0.0,2.013,0.0,2.7714,19.581686982,0
205,P13984:P51809,0.6224308129921002,0.0870843209078503,0.2327984817115251,0.8857142857142858,0.54,0.0,0.54,0.0,0.6153,2.013,0.0,3.9008,2.6090243581248,0
206,P11686:Q96G46,0.0112896851023972,0.0893939393939393,0.0,0.2873015873015873,0.22,0.0,0.22,0.9127,0.0,1.5978,0.0,1.5818,0.50748676363176,0
207,P50914:P62913,0.8828131189664384,0.3308206413469571,0.6087797619047619,0.8271103896103899,0.0,0.0,0.0,2.3254,3.1392,1.5978,181.01,38.174,80595.2242834802,1
209,Q15427:Q9HBI6,-0.2271464213953669,0.1299272486772486,0.25,0.2596560846560847,0.15,0.0,0.15,0.0,0.6153,1.1933,0.0,1.5818,0.1742125292523,0
211,Q8NBP7:Q96EF6,0.1919712061655046,0.3055555555555555,0.4807692307692308,0.9722222222222222,0.94,2.01576,2.01576,0.0,0.0,1.5978,5.86,2.7714,52.3067899623765,0
212,Q96I25:Q9UL45,0.7403635988115158,0.0730513957087144,0.2616071428571428,0.9567099567099566,0.0,0.0,0.0,0.5125,0.0,2.013,0.0,5.6875,5.86758046875,0
213,O14818:P49721,0.7809661522426701,0.6944444444444443,0.8010849909584088,1.0,118.38,0.0,118.38,3.124,400.8352,1.5978,24.11,45.2798,258570717.635365,1
214,P62750:Q99574,-0.316569142835848,0.0914529914529914,0.3380952380952381,0.125,0.15,0.0,0.15,0.9127,0.0,2.416,0.0,2.1077,0.697148079096,0
217,P02042:Q15907,-0.0858396984275193,0.1383958633958633,0.2858465608465608,0.8039562289562291,0.24,0.0,0.24,0.0,0.0,0.993,0.0,1.5818,0.376974576,0
218,P22897:Q13564,0.0493319695907927,0.0865949706858797,0.4351851851851852,0.816017316017316,0.24,0.0,0.24,0.0,0.0,2.013,0.0,0.4364,0.210833568,0
220,Q12874:Q9BSY4,0.4789114544108609,0.1428571428571428,0.3703703703703704,1.0,0.61,0.0,0.61,0.0,0.0,1.1933,0.0,2.1077,1.5342222301,0
223,P30260:Q9UKT4,0.6979605630646439,0.1824089905820675,0.692156862745098,0.746790890269151,0.54,3.67486,3.67486,1.0145,0.0,2.416,24.11,18.4426,4005.06101971558,1
224,P06746:Q9BRR6,-0.0076651365917814,0.1089743589743589,0.3299999999999999,0.325,0.41,0.0,0.41,0.0,0.0,2.416,0.0,2.1077,2.087803312,0
225,Q5TEU4:Q86YL7,0.2364283210127724,0.1429304954304954,0.2342664092664092,0.7434920634920634,0.0,0.0,0.0,0.0,0.0,1.1933,0.0,1.1757,1.40296281,0
226,O75037:P68036,0.0990948642211208,0.1194251581751582,0.5126984126984127,0.7402777777777777,8.53,3.84,8.53,0.0,0.6153,1.5978,0.0,1.1757,9.85949977161114,0
228,Q06265:Q8IWU6,0.1506412051486337,0.1248079877112135,0.3833333333333333,0.1771604938271604,0.68,0.0,0.68,0.0,0.0,2.013,0.0,0.7962,1.089870408,0
230,P17980:P29322,-0.1159537545518989,0.0810402046513157,0.8433333333333333,0.1423160173160173,1.22,0.0,1.22,0.0,0.6153,0.993,0.0,0.6688,0.4985311028544,0
231,Q5VTR2:Q6P1J9,0.806570565213911,0.1969619473663591,0.7590909090909093,0.9805194805194806,0.22,0.0,0.22,0.0,3.1392,2.416,181.01,18.4426,5570.10410031152,1
232,Q00987:Q92831,0.1147686886132633,0.1881856500365506,0.7416666666666666,0.5305250627925048,0.71,6.7087,6.7087,0.5125,0.6153,2.013,10.8,2.1077,96.938318517975,1
